key,year,name,time,state,country,district,start_date,end_date,type,week,offseason,video,status,current_match,qual_matches,epa_max,epa_top8,epa_top24,epa_mean,epa_sd,epa_acc,epa_mse,rp_1_acc,rp_1_mse,rp_2_acc,rp_2_mse
2003gl,2003,Great Lakes Regional,1048136400,MI,USA,NULL,2003-03-20,2003-03-22,0,3,f,NULL,Completed,116,102,54.78,36.64,26.71,21.54,11.81,0.6552,0.2288,NULL,NULL,NULL,NULL
2003il,2003,Midwest Regional,1048741200,IL,USA,NULL,2003-03-27,2003-03-29,0,4,f,NULL,Completed,120,106,50.11,33.91,21.54,21.38,11.37,0.65,0.2209,NULL,NULL,NULL,NULL
2003li,2003,SBPLI Long Island Regional,1048136400,NY,USA,NULL,2003-03-20,2003-03-22,0,3,f,NULL,Completed,97,83,59.21,35.57,11.04,23.6,15.34,0.7113,0.203,NULL,NULL,NULL,NULL
2003md,2003,Chesapeake Regional,1047531600,MD,USA,NULL,2003-03-13,2003-03-15,0,2,f,NULL,Completed,111,97,42.19,33.25,27.03,21.37,12.06,0.5856,0.2412,NULL,NULL,NULL,NULL
2003mi,2003,West Michigan Regional,1049346000,MI,USA,NULL,2003-04-03,2003-04-05,0,5,f,NULL,Completed,114,102,51.21,34.65,19.89,21.44,12.61,0.6228,0.2217,NULL,NULL,NULL,NULL
2003mo,2003,St. Louis Regional,1046926800,MO,USA,NULL,2003-03-06,2003-03-08,0,1,f,NULL,Completed,124,110,42.29,32.81,21.48,19.94,9.83,0.7016,0.211,NULL,NULL,NULL,NULL
2003new,2003,Newton Division,1049947200,TX,USA,NULL,2003-04-10,2003-04-12,3,8,f,NULL,Completed,142,128,57.85,43.01,30.5,25.35,13.02,0.6479,0.1994,NULL,NULL,NULL,NULL
2003nh,2003,BAE SYSTEMS Granite State Regional,1046926800,NH,USA,NULL,2003-03-06,2003-03-08,0,1,f,NULL,Completed,124,110,50.81,37.37,21.83,23.21,12.84,0.6532,0.2234,NULL,NULL,NULL,NULL
2003nj,2003,J&J Mid-Atlantic Regional,1049346000,NJ,USA,NULL,2003-04-03,2003-04-05,0,5,f,NULL,Completed,124,110,45.74,31.03,19.16,20.64,10.93,0.6371,0.2257,NULL,NULL,NULL,NULL
2003ny,2003,New York City Regional,1048136400,NY,USA,NULL,2003-03-20,2003-03-22,0,3,f,NULL,Completed,97,83,54.9,31.97,8.91,20.88,16.03,0.6186,0.2138,NULL,NULL,NULL,NULL
2003oh,2003,Buckeye Regional,1046926800,OH,USA,NULL,2003-03-06,2003-03-08,0,1,f,NULL,Completed,125,111,42.94,30.81,24.98,20.48,9.5,0.568,0.2336,NULL,NULL,NULL,NULL
2003on,2003,Canadian Regional,1048741200,ON,Canada,NULL,2003-03-27,2003-03-29,0,4,f,NULL,Completed,116,102,54.96,34.51,22.18,20.99,13.61,0.6121,0.2296,NULL,NULL,NULL,NULL
2003pa,2003,Philadelphia Regional,1048741200,PA,USA,NULL,2003-03-27,2003-03-29,0,4,f,NULL,Completed,113,99,57.3,31.74,22.03,23.45,12.05,0.5752,0.2514,NULL,NULL,NULL,NULL
2003pit,2003,Pittsburgh Regional,1047531600,PA,USA,NULL,2003-03-13,2003-03-15,0,2,f,NULL,Completed,99,85,45.63,27.1,14.43,20.41,11.26,0.5758,0.2424,NULL,NULL,NULL,NULL
2003sac,2003,Sacramento Regional,1046926800,CA,USA,NULL,2003-03-06,2003-03-08,0,1,f,NULL,Completed,108,94,46.91,33.39,4.47,21.81,13.36,0.6852,0.1952,NULL,NULL,NULL,NULL
2003sj,2003,Silicon Valley Regional,1048741200,CA,USA,NULL,2003-03-27,2003-03-29,0,4,f,NULL,Completed,118,104,49.72,35.76,21.26,22.09,11.56,0.5932,0.2256,NULL,NULL,NULL,NULL
2003tx,2003,Lone Star Regional,1049346000,TX,USA,NULL,2003-04-03,2003-04-05,0,5,f,NULL,Completed,100,86,49.32,30.96,7.86,19.98,13.82,0.58,0.2251,NULL,NULL,NULL,NULL
2003va,2003,NASA / VCU Regional,1046926800,VA,USA,NULL,2003-03-06,2003-03-08,0,1,f,NULL,Completed,121,107,49.9,32.03,23.13,20.07,10.59,0.595,0.2344,NULL,NULL,NULL,NULL
2003wa,2003,Pacific Northwest Regional,1049346000,WA,USA,NULL,2003-04-03,2003-04-05,0,5,f,NULL,Completed,107,93,61.08,32.54,15.39,21.29,14.04,0.6636,0.1996,NULL,NULL,NULL,NULL
