year,epa_max,epa_1p,epa_5p,epa_10p,epa_25p,epa_median,epa_75p,epa_mean,epa_sd,auto_epa_max,auto_epa_1p,auto_epa_5p,auto_epa_10p,auto_epa_25p,auto_epa_median,auto_epa_75p,auto_epa_mean,auto_epa_sd,teleop_epa_max,teleop_epa_1p,teleop_epa_5p,teleop_epa_10p,teleop_epa_25p,teleop_epa_median,teleop_epa_75p,teleop_epa_mean,teleop_epa_sd,endgame_epa_max,endgame_epa_1p,endgame_epa_5p,endgame_epa_10p,endgame_epa_25p,endgame_epa_median,endgame_epa_75p,endgame_epa_mean,endgame_epa_sd,rp_1_epa_max,rp_1_epa_1p,rp_1_epa_5p,rp_1_epa_10p,rp_1_epa_25p,rp_1_epa_median,rp_1_epa_75p,rp_1_epa_mean,rp_1_epa_sd,rp_2_epa_max,rp_2_epa_1p,rp_2_epa_5p,rp_2_epa_10p,rp_2_epa_25p,rp_2_epa_median,rp_2_epa_75p,rp_2_epa_mean,rp_2_epa_sd,epa_quals_acc,epa_quals_mse,quals_count,epa_elims_acc,epa_elims_mse,elims_count,epa_champs_acc,epa_champs_mse,champs_count,epa_acc,epa_mse,count,rp_1_acc,rp_1_mse,rp_1_champs_acc,rp_1_champs_mse,rp_2_acc,rp_2_mse,rp_2_champs_acc,rp_2_champs_mse,rp_champs_count,rp_count,score_mean,score_sd,auto_mean,teleop_mean,one_mean,two_mean,endgame_mean,fouls_mean,no_fouls_mean,rp_1_mean,rp_2_mean
2012,41.89,27.09,18,14.53,9.83,5.56,2.59,6.91,5.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6914,0.1835,6517,0.7042,0.1878,1190,0.7243,0.1806,671,0.6934,0.1841,7707,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,18.91,15.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013,95.48,62.39,45.51,37.73,25.02,15.22,7.95,18.2,14.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7365,0.1694,6938,0.7393,0.176,1304,0.7283,0.172,611,0.737,0.1704,8242,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,51.01,31.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,144.61,89.5,66.17,55.94,39.44,24.72,14.94,29.08,19.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.699,0.1899,9001,0.6961,0.1949,1662,0.7177,0.1815,744,0.6986,0.1907,10663,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,75.4,48.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,121.31,80.8,57.14,45.98,29.85,18.42,10.86,22.65,17.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6982,0.1852,9878,0.7164,0.179,1932,0.7209,0.1843,1161,0.7012,0.1841,11810,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,48.9,33.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,70.61,52.47,41.1,35.58,29.34,23.46,17.85,24.27,9.25,24.57,16.3,12.13,11,9.25,7.22,4.6,7.07,3.35,45.6,31,23.66,20.16,15.93,12.45,9.43,13.25,5.57,15.94,12.07,8.33,6.63,5.12,3.81,2.42,3.96,2.39,0.8726,0.6911,0.5682,0.5025,0.3759,0.2469,0.1347,0.2578,0.1773,0.7557,0.4535,0.2846,0.1824,-0.0149,-0.1471,-0.1978,-0.0818,0.1711,0.7248,0.1769,11063,0.6887,0.1922,2223,0.7229,0.1746,1144,0.7187,0.1795,13286,0.7472,0.1669,0.921,0.0691,0.8815,0.0873,0.694,0.2002,2000,22126,69.54,27.5,16.21,36.85,NULL,NULL,9.84,2.98,62.9,0.59,0.03
2017,166.42,124.56,109.54,102.86,88.77,70.66,49.19,69.79,25.61,57.12,40.26,32.7,28.65,22.2,14.94,8.11,15.5,9.96,66.32,52.17,44.14,39.4,32.35,25.73,19.21,26.39,9.93,76.29,57.76,52.3,48.39,40.42,29.51,15.72,27.9,16.22,0.8873,0.5498,0.3345,0.1455,-0.1591,-0.3333,-0.3333,-0.203,0.2228,1.6358,0.4574,-0.1461,-0.2024,-0.2591,-0.3333,-0.3333,-0.2805,0.1551,0.6622,0.2024,12683,0.6293,0.2133,2746,0.6436,0.2142,1591,0.6564,0.2044,15429,0.9227,0.0629,0.6978,0.2233,0.9761,0.0194,0.93,0.0546,2700,25366,179.24,70.49,32.35,75.81,NULL,NULL,62.68,8.09,170.85,0,0
2018,291.19,219.65,167.31,142.27,100.95,63.51,37.16,73.6,49.27,22.82,18.42,15.4,13.66,10.23,7.44,5.25,8.01,3.88,225.04,178.3,131.06,109.04,74.72,44.24,18.98,50.75,42.34,47.73,34.6,28.55,25.04,19.6,14.08,9.65,14.84,7.66,0.8069,0.6338,0.5043,0.4266,0.2925,0.1497,0.0338,0.1686,0.1856,1.212,0.5432,0.2067,0.0849,-0.0605,-0.1511,-0.2003,-0.1022,0.1602,0.733,0.1763,14143,0.7531,0.1686,2787,0.7391,0.1727,1587,0.7363,0.175,16930,0.7084,0.1938,0.7839,0.1602,0.9197,0.0625,0.7629,0.1621,2712,28286,264.23,106.68,21.23,185.19,NULL,NULL,41.63,16.18,248.05,0.27,0.03
2019,45.32,34.02,27.94,25,20.28,15.5,11.54,16.3,6.42,7,6.22,5.75,5.53,5.09,4.27,3.35,4.18,1.13,32.51,22.59,17.18,14.75,11.01,7.51,4.9,8.26,4.8,11.37,9.31,7.9,7,5.14,3.39,2.42,3.86,2.09,1.0796,0.4634,0.1334,0.0248,-0.0984,-0.181,-0.2258,-0.1379,0.1435,0.9491,0.7896,0.5885,0.4493,0.194,0.0555,-0.0245,0.1175,0.2144,0.7226,0.1739,14916,0.6938,0.1855,3106,0.7223,0.1721,1588,0.7177,0.1759,18022,0.9367,0.0517,0.8207,0.1337,0.769,0.1607,0.7714,0.1672,2716,29832,44.75,17.13,10.97,20.99,NULL,NULL,10.58,2.28,42.54,0.02,0.22
2020,98.08,77.45,59.59,51.06,38.21,24.72,16.66,28.47,16.36,35.95,24.33,18.98,17.02,13.22,8.72,5.78,9.74,5.29,42.6,30.27,19.42,14.8,9.08,5.08,2.32,6.58,6.46,38.61,32.21,27.62,24.79,17.75,10.73,5.74,12.14,8.42,-0.099,-0.1858,-0.2452,-0.2724,-0.313,-0.3333,-0.3333,-0.3167,0.0329,0.6238,0.4176,0.2721,0.1958,0.0847,-0.0176,-0.0874,0.0124,0.1342,0.712,0.1839,3806,0.7548,0.1721,828,NULL,NULL,0,0.7197,0.1818,4634,1,0,NULL,NULL,0.855,0.1143,NULL,NULL,0,7612,93.39,44.96,28.32,20.97,NULL,NULL,35.25,8.94,84.54,0,0.12
2021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,73.27,49.72,36.98,30.48,20.89,13.3,8.02,15.69,10.72,16.87,13.67,10.44,8.81,6.43,4.27,2.8,4.87,2.89,45.21,28.21,18.7,13.6,8.16,4.35,2.25,6.12,6.11,15.95,13.53,11.7,10.28,7.03,4.01,2.04,4.71,3.63,1.0971,0.8676,0.5838,0.4421,0.1873,0.0073,-0.0872,0.0827,0.2401,0.7985,0.6453,0.5117,0.4315,0.2785,0.0989,-0.0207,0.1353,0.2049,0.7706,0.1497,12048,0.7951,0.1406,2597,0.7664,0.1465,869,0.7749,0.1481,14645,0.8138,0.1288,0.8624,0.0996,0.7294,0.1801,0.7917,0.156,1512,24096,41.41,22.07,11.65,15.66,NULL,NULL,11.71,2.42,39.02,0.12,0.23
2023,85.22,62.45,51.39,45.8,34.12,23.19,16.95,26.37,12.97,21.95,17.34,14.99,13.45,10.52,7.13,4.47,7.64,4.12,56.14,37.76,29.81,24.86,16.77,10.23,6.53,12.5,8.47,13.4,10.89,9.73,9.03,7.92,6.34,4.68,6.24,2.28,1.0828,0.7299,0.4208,0.2644,0.0561,-0.0911,-0.1809,-0.0268,0.2136,0.7948,0.6297,0.5063,0.438,0.316,0.1769,0.0639,0.1936,0.18,0.763,0.1563,10763,0.7385,0.1693,2314,NULL,NULL,0,0.7587,0.1586,13077,0.8794,0.0924,NULL,NULL,0.651,0.2193,NULL,NULL,0,21526,74.57,29.36,19.51,32.69,NULL,NULL,18.11,4.36,70.31,0.03,0.38
