team,name,offseason,state,country,district,rookie_year,active,norm_epa,norm_epa_recent,norm_epa_mean,norm_epa_max,wins,losses,ties,count,winrate,full_wins,full_losses,full_ties,full_count,full_winrate
66,Grizzly Robotics,false,MI,USA,fim,1998,true,1485,1572,1599,1752,455,389,17,861,0.5383,472,428,17,917,0.524
67,The HOT Team,false,MI,USA,fim,1997,true,1899,1811,1818,1971,1003,305,16,1324,0.7636,1153,408,18,1579,0.7359
68,Truck Town Thunder,false,MI,USA,fim,1998,true,1522,1519,1647,1912,573,448,11,1032,0.5606,688,562,17,1267,0.5497
69,HYPER,false,MA,USA,ne,1998,true,1610,1582,1650,1858,340,226,7,573,0.5995,353,243,7,603,0.5912
70,More Martians,false,MI,USA,fim,1998,true,1688,1608,1627,1783,565,384,17,966,0.5937,657,455,21,1133,0.5891
71,Team Hammond,false,IN,USA,fin,1996,true,1447,1593,1721,1866,533,276,24,833,0.6543,580,322,25,927,0.6392
73,The Illumination,false,NY,USA,NULL,1995,false,1396,NULL,1460,1599,44,87,5,136,0.3419,45,92,5,142,0.3345
74,Team CHAOS,false,MI,USA,fim,1995,true,1621,1573,1622,1972,483,409,13,905,0.5409,551,469,13,1033,0.5397
75,RoboRaiders,false,NJ,USA,fma,1996,true,1542,1573,1563,1707,374,327,14,715,0.5329,408,366,14,788,0.5266
77,Team 77,false,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
78,AIR STRIKE,false,RI,USA,ne,1996,true,1610,1693,1656,1849,438,228,15,681,0.6542,511,279,16,806,0.6439
79,Team Krunch,false,FL,USA,NULL,1998,true,1392,1467,1619,1775,373,286,13,672,0.5647,379,290,13,682,0.5652
80,Robocolt,false,AZ,USA,NULL,1994,false,1551,NULL,1573,1586,23,19,0,42,0.5476,23,19,0,42,0.5476
81,MetalHeads,false,IL,USA,NULL,1994,false,1482,1440,1454,1644,67,115,9,191,0.3743,74,132,9,215,0.3651
84,Chuck 84,false,PA,USA,NULL,1998,false,1559,NULL,1611,1744,109,84,4,197,0.5635,109,84,4,197,0.5635
85,B.O.B. (Built on Brains),false,MI,USA,fim,1996,true,1641,1645,1618,1801,561,398,13,972,0.5838,590,427,13,1030,0.5791
86,Team Resistance,false,FL,USA,NULL,1998,true,1583,1606,1592,1734,262,180,7,449,0.5913,264,183,7,454,0.5892
87,Diablo,false,NJ,USA,fma,1997,true,1431,1400,1488,1702,227,260,13,500,0.467,230,272,13,515,0.4592
88,TJ²,false,MA,USA,ne,1996,true,1735,1685,1599,1735,505,341,15,861,0.5952,607,443,17,1067,0.5769
90,Team 90,false,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0
92,RoboPats,false,IL,USA,NULL,1997,false,1469,NULL,1522,1573,15,23,1,39,0.3974,15,23,1,39,0.3974
93,NEW Apple Corps,false,WI,USA,NULL,1997,true,1573,1558,1586,1697,323,260,12,595,0.5529,340,279,13,632,0.5483
94,The  Ninetyfouriors,false,MI,USA,fim,1998,true,1455,1493,1486,1580,225,275,18,518,0.4517,225,275,18,518,0.4517
