team,name,country,state,rookie_year,offseason,district,active,primary_color,secondary_color,wins,losses,ties,count,winrate,full_wins,full_losses,full_ties,full_count,full_winrate,norm_epa,norm_epa_recent,norm_epa_mean,norm_epa_max
1489,Blood Sweat Gears,USA,MI,2004,f,NULL,f,NULL,NULL,8,11,0,19,0.4211,8,11,0,19,0.4211,1356,NULL,1423,1489
1490,Sparta's Rockets,USA,TX,2004,f,NULL,f,NULL,NULL,1,7,1,9,0.1667,1,7,1,9,0.1667,1447,NULL,1447,1447
1492,Team CAUTION,USA,AZ,2004,f,NULL,f,NULL,NULL,147,131,4,282,0.5284,163,145,5,313,0.5288,1513,1513,1521,1626
1493,Falcons,USA,NY,2004,f,NULL,t,#25408f,#010206,147,128,3,278,0.5342,178,149,3,330,0.5439,1636,1639,1543,1668
1493B,1493B,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,5,4,0,9,0.5556,1413,NULL,1413,1413
1495,Red Devils,USA,PA,2004,f,fma,f,NULL,NULL,152,160,8,320,0.4875,152,160,8,320,0.4875,1619,NULL,1503,1619
1496,IGUANA #1496,Ecuador,NULL,2004,f,NULL,f,NULL,NULL,6,22,0,28,0.2143,6,22,0,28,0.2143,1392,NULL,1400,1435
1497,Ram Robotics,USA,FL,2004,f,NULL,f,NULL,NULL,8,15,3,26,0.3654,8,15,3,26,0.3654,1419,NULL,1444,1469
1500,Metal-Morphose,USA,MI,2005,f,NULL,f,NULL,NULL,6,12,1,19,0.3421,6,12,1,19,0.3421,1395,NULL,1431,1467
1501,Team THRUST,USA,IN,2005,f,fin,t,#1c1c1c,#707070,407,239,5,651,0.629,461,280,7,748,0.621,1660,1638,1647,1869
1502,Technical Difficulties,USA,MI,2005,f,fim,t,#fac113,#174783,240,284,15,539,0.4592,251,292,15,558,0.4633,1558,1528,1514,1680
1503,Spartonics,Canada,ON,2005,f,NULL,f,NULL,NULL,264,146,4,414,0.6425,281,169,4,454,0.6233,1612,NULL,1704,1901
1504,Desperate Penguins,USA,MI,2005,f,fim,t,NULL,NULL,255,266,13,534,0.4897,292,307,15,614,0.4878,1520,1513,1553,1666
1505,Roybotics,USA,UT,2005,f,NULL,f,NULL,NULL,6,6,1,13,0.5,6,6,1,13,0.5,1469,NULL,1469,1469
1506,Metal Muscle,USA,MI,2005,f,fim,t,#060000,#7b797c,353,289,12,654,0.5489,468,360,14,842,0.5641,1727,1701,1575,1781
1507,Warlocks,USA,NY,2005,f,NULL,t,#3d33db,#e5d001,322,158,3,483,0.6698,366,210,7,583,0.6338,1609,1626,1675,1843
1508,RoboWizards,USA,MI,2005,f,NULL,f,NULL,NULL,16,31,0,47,0.3404,16,31,0,47,0.3404,1505,NULL,1514,1523
1509,Screamin Eagles,USA,MI,2005,f,NULL,f,NULL,NULL,21,16,0,37,0.5676,21,16,0,37,0.5676,1547,NULL,1517,1547
151,Tough Techs,USA,NH,1992,f,ne,t,#1f1b1c,#ff7000,169,213,12,394,0.4442,202,252,12,466,0.4464,1475,1496,1502,1672
1510,Wildcats,USA,OR,2005,f,pnw,f,NULL,NULL,203,233,9,445,0.4663,203,233,9,445,0.4663,1500,1500,1521,1660
1511,Rolling Thunder,USA,NY,2005,f,NULL,t,#a60018,#ffc90e,317,253,7,577,0.5555,409,359,10,778,0.5321,1576,1573,1608,1727
1512,The Big Red,USA,NH,2005,f,ne,t,NULL,NULL,114,154,7,275,0.4273,117,159,7,283,0.4258,1529,1502,1476,1623
1513,Cyclones,USA,TX,2005,f,NULL,f,NULL,NULL,22,42,1,65,0.3462,22,42,1,65,0.3462,1435,NULL,1388,1435
1514,The Vikes,Canada,ON,2005,f,NULL,f,NULL,NULL,18,60,5,83,0.247,18,60,5,83,0.247,1423,NULL,1390,1442
1515,MorTorq,USA,CA,2005,f,NULL,t,#242828,#eb8b30,208,235,10,453,0.4702,208,235,10,453,0.4702,1523,1530,1513,1580
1516,Fightin' Grizzlies,USA,CA,2005,f,NULL,f,NULL,NULL,64,78,7,149,0.453,66,81,7,154,0.4513,1540,NULL,1520,1734
1517,AMP'D UP,USA,NH,2005,f,ne,f,NULL,NULL,179,179,9,367,0.5,192,191,9,392,0.5013,1556,1556,1528,1624
1518,Raider Robotics,USA,NY,2005,f,NULL,t,NULL,NULL,102,118,7,227,0.4648,131,176,10,317,0.429,1448,1461,1502,1579
1519,Mechanical Mayhem,USA,NH,2005,f,ne,f,NULL,NULL,428,164,11,603,0.7189,587,238,16,841,0.7075,1710,1710,1704,1912
1520,Omega - 13,USA,NY,2005,f,NULL,f,NULL,NULL,10,25,2,37,0.2973,10,25,2,37,0.2973,1405,NULL,1416,1438
1522,DOTM - Defenders of the Multiverse,USA,VA,2005,f,chs,t,NULL,NULL,173,204,9,386,0.4598,185,222,9,416,0.4555,1436,1456,1500,1565
1523,MARS (Mega Awesome Robotic Systems),USA,FL,2005,f,NULL,t,#a30f0a,#13ac13,178,164,5,347,0.5202,187,172,5,364,0.5206,1485,1477,1554,1682
1523B,1523B,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,5,5,0,10,0.5,1396,NULL,1413,1435
1524,Gladiators,USA,CT,2005,f,NULL,f,NULL,NULL,9,13,0,22,0.4091,9,13,0,22,0.4091,1495,NULL,1492,1495
1525,Deerfield High School Warriors,USA,IL,2005,f,NULL,f,NULL,NULL,31,43,7,81,0.4259,31,43,7,81,0.4259,1447,NULL,1498,1574
1527,Bionic Battalion,USA,CA,2005,f,NULL,f,NULL,NULL,49,65,0,114,0.4298,49,65,0,114,0.4298,1484,NULL,1468,1507
1528,MTR (Monroe Trojan Robotics),USA,MI,2005,f,fim,t,NULL,NULL,185,234,18,437,0.4439,225,329,20,574,0.4094,1356,1372,1478,1641
1529,CyberCards,USA,IN,2005,f,fin,f,NULL,NULL,135,218,5,358,0.3841,150,259,6,415,0.3687,1492,1492,1469,1583
1531,Team Lake Effect,USA,NY,2005,f,NULL,f,NULL,NULL,8,15,0,23,0.3478,8,15,0,23,0.3478,1334,NULL,1349,1363
1532,Royals,USA,OH,2005,f,NULL,f,NULL,NULL,8,32,1,41,0.2073,8,32,1,41,0.2073,1441,NULL,1406,1441
1533,Triple Strange,USA,NC,2005,f,fnc,t,#2626a9,#f79122,371,220,2,593,0.6273,416,249,2,667,0.6252,1670,1670,1602,1749
1533B,1533B,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,8,3,0,11,0.7273,1411,NULL,1411,1411
1534,Abramson Robotic Soldiers,USA,LA,2005,f,NULL,f,NULL,NULL,5,6,0,11,0.4545,5,6,0,11,0.4545,1473,NULL,1473,1473
1535,Knights of Alloy,Canada,ON,2005,f,NULL,f,NULL,NULL,53,73,2,128,0.4219,53,73,2,128,0.4219,1487,NULL,1520,1562
1537,Robotic Knights,USA,NY,2005,f,NULL,f,NULL,NULL,43,86,3,132,0.3371,43,86,3,132,0.3371,1432,NULL,1412,1499
1538,The Holy Cows,USA,CA,2005,f,NULL,t,#232323,#ffffff,395,218,6,619,0.643,466,275,8,749,0.6275,1762,1738,1688,1880
1539,Clover Eagle Robotics,USA,SC,2005,f,pch,t,#ffffff,#ffffff,148,177,3,328,0.4558,148,177,3,328,0.4558,1366,1408,1496,1683
1540,Flaming Chickens,USA,OR,2005,f,pnw,t,#f6b14b,#ff4848,436,271,3,710,0.6162,478,292,4,774,0.6202,1638,1671,1636,1787
1540B,1540B,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,6,3,0,9,0.6667,1442,1442,1442,1442
1540C,1540C,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,3,6,0,9,0.3333,1438,1438,1438,1438
1540D,1540D,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,3,2,1,6,0.5833,1438,1438,1438,1438
1540E,1540E,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,2,6,1,9,0.2778,1435,1439,1439,1442
1540L,1540L,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,4,5,0,9,0.4444,1442,1442,1442,1442
1540S,1540S,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,3,5,0,8,0.375,1442,1442,1442,1442
1541,MidloCanics,USA,VA,2005,f,chs,f,NULL,NULL,67,70,3,140,0.4893,67,70,3,140,0.4893,1469,NULL,1511,1661
1543,The Riddler Revolution,USA,FL,2005,f,NULL,f,NULL,NULL,29,43,3,75,0.4067,29,43,3,75,0.4067,1381,NULL,1424,1493
1544,One Byte Short,USA,AK,2005,f,NULL,f,NULL,NULL,22,47,5,74,0.3311,22,47,5,74,0.3311,1330,NULL,1373,1436
1546,"Chaos, Inc.",USA,NY,2005,f,NULL,t,NULL,NULL,82,101,6,189,0.4497,83,106,6,195,0.441,1450,1451,1480,1539
1547,"""Where's Waldo?""",Canada,ON,2005,f,ont,f,NULL,NULL,135,152,13,300,0.4717,135,152,13,300,0.4717,1476,NULL,1487,1589
1548,Highlanders,USA,AK,2005,f,NULL,f,NULL,NULL,26,27,2,55,0.4909,26,27,2,55,0.4909,1480,NULL,1507,1568
1549,Fire TraXX,USA,MI,2005,f,NULL,f,NULL,NULL,18,26,1,45,0.4111,18,26,1,45,0.4111,1376,NULL,1422,1526
155,The TechnoNuts,USA,CT,1994,f,ne,t,#e87024,#26398c,257,275,7,539,0.4833,308,341,7,656,0.4748,1557,1555,1546,1687
1550,The Botics Squad,USA,LA,2005,f,NULL,f,NULL,NULL,16,23,2,41,0.4146,16,23,2,41,0.4146,1387,NULL,1419,1482
1551,The Grapes of Wrath,USA,NY,2005,f,NULL,f,NULL,NULL,150,145,6,301,0.5083,174,176,8,358,0.4972,1525,1487,1538,1624
1552,CougarBots,USA,CO,2005,f,NULL,f,NULL,NULL,27,29,0,56,0.4821,27,29,0,56,0.4821,1532,NULL,1508,1532
1553,KC Robotics Team,USA,SC,2005,f,NULL,f,NULL,NULL,77,76,3,156,0.5032,79,96,3,178,0.4522,1498,1498,1476,1565
1554,Oceanside Kraken,USA,NY,2005,f,NULL,t,NULL,NULL,59,99,3,161,0.3758,59,99,3,161,0.3758,1483,1478,1458,1527
1555,Cryofrost,USA,IN,2005,f,fin,t,#33b4dc,#0a0a0a,82,139,3,224,0.3728,90,164,4,258,0.3566,1519,1505,1461,1530
1556,Robo Raiders,USA,CA,2005,f,NULL,f,NULL,NULL,8,13,1,22,0.3864,8,13,1,22,0.3864,1386,NULL,1375,1386
1557,12 Volt Bolt,USA,FL,2005,f,NULL,t,#f8050d,#0203e5,87,103,9,199,0.4598,100,107,9,216,0.4838,1442,1446,1489,1566
1558,ACCIdent,Canada,ON,2005,f,NULL,f,NULL,NULL,42,67,1,110,0.3864,42,67,1,110,0.3864,1436,NULL,1432,1501
1559,Devil Tech,USA,NY,2005,f,NULL,t,#001aff,#fbab1c,215,200,6,421,0.5178,249,246,9,504,0.503,1589,1593,1587,1715
156,RPM  - Robotics Plus Mayhem,USA,PA,1997,f,NULL,f,#777777,#050505,100,105,3,208,0.488,108,109,3,220,0.4977,1518,1518,1550,1616
1560,RoboPanthers,USA,CA,2005,f,NULL,f,NULL,NULL,28,30,1,59,0.4831,28,30,1,59,0.4831,1445,NULL,1436,1499
1561,ROBODUCKS,USA,OK,2005,f,NULL,t,#85009c,#060007,133,111,2,246,0.5447,137,118,2,257,0.537,1616,1600,1535,1635
1562,RMSEL Robotics,USA,CO,2005,f,NULL,f,NULL,NULL,1,10,0,11,0.0909,1,10,0,11,0.0909,1357,NULL,1357,1357
1563,ROBO-CATS,USA,NJ,2005,f,NULL,f,NULL,NULL,20,42,8,70,0.3429,20,42,8,70,0.3429,1396,NULL,1426,1500
1564,J.A.G.S.,Canada,ON,2005,f,NULL,f,NULL,NULL,10,20,2,32,0.3438,10,20,2,32,0.3438,1462,NULL,1392,1462
1565,Think Tank Technologies (T3),Canada,ON,2005,f,NULL,f,NULL,NULL,44,53,2,99,0.4545,44,53,2,99,0.4545,1567,NULL,1580,1660
1566,AMMOKNIGHTS,USA,ID,2005,f,NULL,t,NULL,NULL,103,127,7,237,0.4494,103,127,7,237,0.4494,1468,1451,1465,1539
1567,Shock-a-bots,USA,NY,2005,f,NULL,f,NULL,NULL,17,18,0,35,0.4857,17,18,0,35,0.4857,1379,NULL,1447,1515
1568,Mechanicatz,USA,RI,2005,f,NULL,f,NULL,NULL,29,33,2,64,0.4688,34,37,2,73,0.4795,1373,NULL,1410,1468
1569,Haywire Robotics,USA,ID,2005,f,NULL,t,#ffd800,#aaaaaa,134,125,9,268,0.5168,134,125,9,268,0.5168,1566,1559,1544,1706
157,AZTECHS,USA,MA,1992,f,ne,t,#003da5,#ffb200,257,288,16,561,0.4724,341,390,17,748,0.4672,1541,1533,1556,1692
1570,Demons,Canada,BC,2005,f,NULL,f,NULL,NULL,18,23,1,42,0.4405,18,23,1,42,0.4405,1445,NULL,1416,1500
1571,CALibrate Robotics,USA,OR,2005,f,pnw,f,NULL,NULL,89,118,6,213,0.4319,89,118,6,213,0.4319,1443,1443,1454,1519
1572,The Hammer Heads,USA,CA,2005,f,NULL,t,NULL,NULL,228,188,2,418,0.5478,244,203,2,449,0.5457,1552,1545,1556,1621
1573,Kfar Galim,Israel,NULL,2005,f,isr,f,NULL,NULL,90,109,5,204,0.4534,90,109,5,204,0.4534,1447,NULL,1462,1550
1574,MisCar,Israel,NULL,2005,f,isr,t,#8c163a,#a4a2a2,388,173,9,570,0.6886,435,187,9,631,0.6965,1702,1667,1654,1831
1574B,1574B,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,5,6,0,11,0.4545,1423,NULL,1423,1423
1575,Team 1575,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
1576,Voltrix,Israel,NULL,2005,f,isr,t,NULL,NULL,114,163,5,282,0.4131,114,163,5,282,0.4131,1358,1424,1448,1533
1577,Steampunk,Israel,NULL,2005,f,isr,t,#000000,#ff6a02,361,186,8,555,0.6577,410,203,8,621,0.6667,1718,1761,1590,1869
1578,The Purple RoboSnails,Israel,NULL,2005,f,NULL,f,NULL,NULL,28,24,3,55,0.5364,28,24,3,55,0.5364,1441,NULL,1456,1539
1579,Shevach-Mofet,Israel,NULL,2005,f,NULL,f,NULL,NULL,26,29,1,56,0.4732,26,29,1,56,0.4732,1460,NULL,1479,1506
158,The Cobras,USA,OH,1996,f,NULL,f,NULL,NULL,47,62,4,113,0.4336,47,62,4,113,0.4336,1573,NULL,1488,1573
1580,The Blue Monkeys,Israel,NULL,2005,f,isr,t,#eff3f7,#0a0a0a,112,161,4,277,0.4116,112,161,4,277,0.4116,1418,1452,1414,1499
1581,Team 1581,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
1582,Dantziger,Israel,NULL,2005,f,NULL,f,NULL,NULL,5,6,1,12,0.4583,5,6,1,12,0.4583,1522,NULL,1522,1522
1583,Ridge View Academy Rambotics,USA,CO,2005,f,NULL,f,NULL,NULL,81,96,8,185,0.4595,81,96,8,185,0.4595,1488,NULL,1504,1604
1584,Pirates,USA,CO,2005,f,NULL,f,NULL,NULL,79,80,7,166,0.497,79,80,7,166,0.497,1493,NULL,1484,1566
1585,Scitobor Robotics,USA,NY,2005,f,NULL,t,#beb5b0,#6c6662,57,80,2,139,0.4173,76,104,2,182,0.4231,1345,1367,1445,1574
1588,The Crunken Masters,USA,GA,2005,f,NULL,f,NULL,NULL,4,5,0,9,0.4444,4,5,0,9,0.4444,1470,NULL,1470,1470
1589,DYNAMIC (Desgin Young New Advance Minds In Competition) BOTICS,USA,LA,2005,f,NULL,f,NULL,NULL,6,3,0,9,0.6667,6,3,0,9,0.6667,1494,NULL,1494,1494
159,Alpine Robotics,USA,CO,1998,f,NULL,t,NULL,NULL,180,201,9,390,0.4731,180,201,9,390,0.4731,1503,1498,1501,1651
1590,Titaniums,USA,OH,2005,f,NULL,f,NULL,NULL,63,85,0,148,0.4257,63,85,0,148,0.4257,1447,NULL,1465,1531
1591,Greece Gladiators,USA,NY,2005,f,NULL,t,#2c45c3,#ffffff,97,101,5,203,0.4901,115,112,5,232,0.5065,1694,1654,1503,1758
1592,Bionic Tigers,USA,FL,2005,f,NULL,t,NULL,NULL,296,180,5,481,0.6206,311,209,6,526,0.597,1523,1504,1613,1743
1593,2 Hot 2 Trot,USA,NY,2005,f,NULL,f,NULL,NULL,13,11,0,24,0.5417,13,11,0,24,0.5417,1518,NULL,1518,1518
1594,Double X,USA,NY,2005,f,NULL,f,NULL,NULL,27,39,1,67,0.4104,27,39,1,67,0.4104,1537,NULL,1486,1537
1595,The Dragons,USA,WA,2005,f,pnw,t,#000000,#ffffff,279,222,7,508,0.5561,296,237,8,541,0.5545,1512,1523,1541,1692
1596,The Instigators,USA,MI,2005,f,fim,t,#2000f2,#005c08,279,243,15,537,0.5335,279,243,15,537,0.5335,1464,1497,1555,1708
1597,BxAero,USA,NY,2005,f,NULL,f,NULL,NULL,28,27,2,57,0.5088,28,27,2,57,0.5088,1510,NULL,1515,1520
1598,TeamTalon 1598,USA,VA,2005,f,chs,f,NULL,NULL,146,161,9,316,0.4763,146,161,9,316,0.4763,1412,1412,1516,1669
1599,CircuiTree,USA,VA,2005,f,chs,t,#103315,#33a142,206,175,14,395,0.5392,257,209,16,482,0.5498,1617,1611,1521,1652
16,Bomb Squad,USA,AR,1996,f,NULL,t,#5c5c5c,#070707,602,216,7,825,0.7339,695,265,9,969,0.7219,1715,1736,1728,1840
1600,ROBO KINGS AND QUEENS,USA,NY,2005,f,NULL,f,NULL,NULL,52,71,4,127,0.4252,53,75,4,132,0.4167,1430,NULL,1452,1529
1601,Quantum Samurai,USA,NY,2005,f,NULL,t,#d896fc,#9c5f13,64,117,4,185,0.3568,64,117,4,185,0.3568,1393,1403,1419,1499
1602,CougarBots,USA,MI,2005,f,fim,f,NULL,NULL,30,70,3,103,0.3058,30,70,3,103,0.3058,1415,NULL,1419,1456
1603,Libas,Brazil,NULL,2005,f,NULL,f,NULL,NULL,10,14,0,24,0.4167,10,14,0,24,0.4167,1626,NULL,1529,1626
1604,Mekheads,USA,FL,2005,f,NULL,f,NULL,NULL,23,48,4,75,0.3333,23,48,4,75,0.3333,1342,NULL,1426,1491
1605,RoboHawks,Canada,ON,2005,f,NULL,f,NULL,NULL,47,74,3,124,0.3911,47,74,3,124,0.3911,1471,NULL,1447,1524
1606,Division Dragons,USA,NY,2005,f,NULL,f,NULL,NULL,34,28,4,66,0.5455,34,28,4,66,0.5455,1589,NULL,1547,1606
1607,Rough Riders,USA,NY,2005,f,NULL,f,NULL,NULL,34,58,5,97,0.3763,34,58,5,97,0.3763,1319,NULL,1428,1500
1609,West Allied Robotics -W.A.R.,USA,MO,2005,f,NULL,f,NULL,NULL,7,16,0,23,0.3043,7,16,0,23,0.3043,1396,NULL,1451,1506
161,Team 161,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
1610,⛴ Blackwater Robotics ⛴,USA,VA,2005,f,chs,t,#fabf35,#181205,285,200,10,495,0.5859,322,233,12,567,0.5785,1588,1616,1569,1702
1611,NOS,USA,GA,2005,f,NULL,f,NULL,NULL,7,16,0,23,0.3043,7,16,0,23,0.3043,1478,NULL,1449,1478
1612,Robo-Sharks,USA,FL,2005,f,NULL,f,NULL,NULL,50,42,4,96,0.5417,50,42,4,96,0.5417,1448,NULL,1488,1647
1613,StARC,USA,CA,2005,f,NULL,f,NULL,NULL,1,9,1,11,0.1364,1,9,1,11,0.1364,1376,NULL,1376,1376
1616,weequahic indians,USA,NJ,2005,f,NULL,f,NULL,NULL,17,42,6,65,0.3077,20,45,6,71,0.3239,1399,NULL,1405,1460
1617,The Mighty Bulldogs,USA,NJ,2005,f,fma,f,NULL,NULL,24,44,6,74,0.3649,24,44,6,74,0.3649,1371,NULL,1385,1433
1618,Capital Robotics ,USA,SC,2005,f,NULL,f,NULL,NULL,21,26,0,47,0.4468,21,26,0,47,0.4468,1500,NULL,1452,1540
1619,Up-A-Creek Robotics,USA,CO,2005,f,NULL,t,#666666,#6495ed,359,117,6,482,0.751,448,167,6,621,0.7262,1808,1812,1683,1860
162,Team 162,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
1620,Robolution,Canada,ON,2005,f,NULL,f,NULL,NULL,17,14,1,32,0.5469,17,14,1,32,0.5469,1439,NULL,1440,1467
1621,Eniac,Brazil,NULL,2005,f,NULL,f,NULL,NULL,11,14,1,26,0.4423,11,14,1,26,0.4423,1452,NULL,1458,1464
1622,Team Spyder,USA,CA,2005,f,NULL,t,#1f1b1c,#ffffff,332,364,6,702,0.4772,361,387,6,754,0.4828,1582,1524,1586,1762
1623,Banner Bots,USA,MN,2005,f,NULL,f,NULL,NULL,9,20,0,29,0.3103,9,20,0,29,0.3103,1403,NULL,1428,1479
1624,The Green Grinches,USA,WA,2005,f,NULL,f,NULL,NULL,10,15,0,25,0.4,10,15,0,25,0.4,1467,NULL,1459,1467
1625,Winnovation,USA,IL,2005,f,NULL,t,#572600,#ff6f00,415,203,14,632,0.6677,494,261,16,771,0.6511,1607,1602,1675,1896
1626,Falcon Robotics,USA,NJ,2005,f,fma,t,#125541,#ffffff,280,236,14,530,0.5415,332,282,14,628,0.5398,1502,1516,1572,1734
1628,SENAI Mechatronics,Brazil,NULL,2005,f,NULL,f,NULL,NULL,8,5,0,13,0.6154,8,5,0,13,0.6154,1494,NULL,1494,1494
1629,Garrett Coalition (GaCo),USA,MD,2005,f,chs,t,#707070,#292929,414,245,10,669,0.6263,495,301,11,807,0.6202,1630,1624,1647,1808
163,Team 163,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
1631,Rockin Robots,USA,NV,2005,f,NULL,f,NULL,NULL,48,65,1,114,0.4254,48,65,1,114,0.4254,1457,NULL,1484,1593
1633,RoboBuffs,USA,AZ,2005,f,NULL,f,NULL,NULL,49,89,4,142,0.3592,49,89,4,142,0.3592,1366,NULL,1444,1550
1634,Wreckers,USA,PA,2005,f,NULL,f,NULL,NULL,19,39,2,60,0.3333,19,39,2,60,0.3333,1499,NULL,1404,1499
1635,TECHNOTICS,USA,NY,2005,f,NULL,f,NULL,NULL,91,71,8,170,0.5588,91,71,8,170,0.5588,1495,NULL,1497,1633
1636,Reds Robotics,USA,CO,2005,f,NULL,f,NULL,NULL,32,17,2,51,0.6471,32,17,2,51,0.6471,1559,NULL,1582,1616
1640,Sab-BOT-age,USA,PA,2005,f,fma,t,#282a74,#fdc010,449,316,11,776,0.5857,587,416,15,1018,0.584,1629,1634,1616,1775
1641,Where's Waldo?,USA,CA,2005,f,NULL,f,NULL,NULL,41,64,4,109,0.3945,41,64,4,109,0.3945,1504,NULL,1481,1534
1642,Techno-Cats,USA,TX,2005,f,NULL,f,NULL,NULL,77,120,6,203,0.3941,77,120,6,203,0.3941,1415,NULL,1439,1497
1643,Bob's Builders in Black,USA,OH,2005,f,NULL,f,NULL,NULL,20,36,1,57,0.3596,20,36,1,57,0.3596,1404,NULL,1385,1448
1644,The Robo-Skunks,USA,CA,2005,f,NULL,f,NULL,NULL,46,53,3,102,0.4657,46,53,3,102,0.4657,1470,NULL,1464,1519
1645,Butte Bot Builders,USA,MT,2005,f,NULL,f,NULL,NULL,0,9,0,9,0,0,9,0,9,0,1432,NULL,1432,1432
1646,Precision Guessworks,USA,IN,2005,f,fin,t,#636365,#fafafa,198,265,5,468,0.4284,224,332,6,562,0.4039,1548,1535,1528,1624
1647,Iron Devils,USA,NJ,2005,f,fma,t,NULL,NULL,235,246,7,488,0.4887,246,258,7,511,0.4883,1471,1460,1527,1662
1648,G3 Robotics,USA,GA,2005,f,pch,t,#ec301a,#2d0905,265,222,10,497,0.5433,281,242,11,534,0.5365,1467,1472,1520,1730
1649,Lakerbotics,USA,FL,2005,f,NULL,f,NULL,NULL,118,122,2,242,0.4917,123,130,2,255,0.4863,1420,1420,1506,1677
165,Das Goat,USA,MD,1998,f,NULL,f,NULL,NULL,33,42,3,78,0.4423,33,42,3,78,0.4423,1493,NULL,1481,1570
1650,Prodigies of Technology,USA,SC,2005,f,NULL,f,NULL,NULL,5,4,0,9,0.5556,5,4,0,9,0.5556,1472,NULL,1472,1472
1652,LakeView Legends,USA,WI,2005,f,NULL,f,NULL,NULL,52,75,7,134,0.4142,52,75,7,134,0.4142,1340,NULL,1463,1632
1653,Washington High School RoboKatz,USA,KS,2005,f,NULL,f,NULL,NULL,15,19,4,38,0.4474,15,19,4,38,0.4474,1451,NULL,1455,1459
1654,The Non Conformants,USA,MI,2005,f,NULL,f,NULL,NULL,13,24,0,37,0.3514,13,24,0,37,0.3514,1458,NULL,1442,1458
1655,Screaming Eagles,USA,VA,2005,f,NULL,f,NULL,NULL,31,39,1,71,0.4437,31,39,1,71,0.4437,1505,NULL,1524,1632
1656,Angry Scotsmen,USA,PA,2005,f,NULL,f,NULL,NULL,13,23,1,37,0.3649,13,23,1,37,0.3649,1414,NULL,1470,1547
1657,Hamosad,Israel,NULL,2005,f,isr,t,#2f6b2f,#e2e2e2,223,181,4,408,0.5515,223,181,4,408,0.5515,1791,1614,1582,1791
1658,Tech Heads,USA,MO,2005,f,NULL,f,NULL,NULL,101,81,3,185,0.5541,105,85,3,193,0.5518,1701,NULL,1523,1701
166,Chop Shop,USA,NH,1995,f,ne,t,#505050,#a1a1a1,283,296,5,584,0.4889,414,433,7,854,0.4889,1635,1619,1572,1773
1660,Harlem Knights,USA,NY,2005,f,NULL,f,NULL,NULL,98,118,7,223,0.4552,107,130,7,244,0.4529,1431,NULL,1480,1550
1661,Griffitrons,USA,CA,2005,f,NULL,t,NULL,NULL,160,193,8,361,0.4543,167,210,8,385,0.4442,1514,1468,1488,1708
1662,Raptor Force Engineering,USA,CA,2005,f,NULL,t,#f1f5fc,#2361d0,207,167,8,382,0.5524,263,216,9,488,0.5482,1528,1527,1587,1754
1665,Weapons of Mass Construction,USA,NY,2005,f,NULL,f,NULL,NULL,92,125,4,221,0.4253,92,125,4,221,0.4253,1495,NULL,1477,1554
1666,REDSKINS,USA,KS,2005,f,NULL,f,NULL,NULL,26,32,3,61,0.4508,26,32,3,61,0.4508,1467,NULL,1473,1562
1667,Broncobotix,USA,KS,2005,f,NULL,f,NULL,NULL,5,8,0,13,0.3846,5,8,0,13,0.3846,1526,NULL,1526,1526
1669,The Jaganators,USA,CA,2005,f,NULL,f,NULL,NULL,34,33,2,69,0.5072,34,33,2,69,0.5072,1516,NULL,1519,1570
167,Children of the Corn,USA,IA,1998,f,NULL,t,#1a311d,#e4e808,209,150,5,364,0.581,214,158,5,377,0.5743,1585,1585,1539,1629
1670,FHJCC  Eagles,USA,KS,2005,f,NULL,f,NULL,NULL,3,9,0,12,0.25,3,9,0,12,0.25,1373,NULL,1373,1373
1671,Buchanan Bird Brains,USA,CA,2005,f,NULL,t,#1a1c1e,#ff3939,242,199,3,444,0.5484,406,332,4,742,0.5499,1628,1620,1568,1712
1671B,1671B,NULL,NULL,NULL,t,NULL,f,NULL,NULL,0,0,0,0,0,38,52,1,91,0.4231,1391,NULL,1406,1435
1672,Robo T-Birds,USA,NJ,2005,f,fma,t,#529ed0,#aeaeae,151,200,9,360,0.4319,151,204,9,364,0.4272,1498,1490,1470,1553
1674,Lake Effect ,USA,MI,2005,f,NULL,f,NULL,NULL,17,18,1,36,0.4861,17,18,1,36,0.4861,1536,NULL,1509,1536
