key,year,name,time,country,state,district,start_date,end_date,type,week,offseason,video,status,num_teams,current_match,qual_matches,epa_max,epa_top_8,epa_top_24,epa_mean,epa_sd,count,epa_conf,epa_acc,epa_mse,epa_score_rmse,epa_score_mae,epa_score_error,rp_count,epa_rp_1_error,epa_rp_1_acc,epa_rp_1_ll,epa_rp_1_f1,epa_rp_2_error,epa_rp_2_acc,epa_rp_2_ll,epa_rp_2_f1
2015inind,2015,IN District - Indianapolis Event,1425013200,USA,IN,fin,2015-02-27,2015-03-01,district,1,f,NULL,Completed,34,85,68,78.07,47.1,15.33,32.95,18.58,85,0.6741,0.6118,0.2226,27.8647,22.5538,-4.1413,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015inkok,2015,IN District - Kokomo City of Firsts Event sponsored by AndyMark,1426132800,USA,IN,fin,2015-03-12,2015-03-14,district,3,f,NULL,Completed,32,80,64,78.07,55.64,15.11,36.2,21.01,80,0.7224,0.7625,0.1801,30.3906,24.6614,-9.4945,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015inwla,2015,IN District - Purdue Event,1426737600,USA,IN,fin,2015-03-19,2015-03-21,district,4,f,NULL,Completed,39,95,78,78.07,49.27,26.18,34.11,18.58,95,0.7158,0.7053,0.1772,31.153,24.9363,-9.1624,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015ios,2015,Israeli Off-Season,1443499200,Israel,NULL,NULL,2015-09-29,2015-09-30,offseason,9,t,NULL,Completed,20,0,40,74.35,28.16,NULL,29.99,17.36,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015iri,2015,Indiana Robotics Invitational,1437019200,USA,IN,NULL,2015-07-16,2015-07-18,offseason,9,t,NULL,Completed,67,117,101,114.35,86.15,70.11,65.39,17.85,117,0.7251,0.6239,0.2321,54.414,44.902,-9.7587,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015iroc,2015,IROC,1445659200,USA,VA,NULL,2015-10-24,2015-10-24,offseason,9,t,https://www.youtube.com/watch?v=z6AZaKzlqTQ,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015ista,2015,Israel Regional,1425873600,Israel,NULL,NULL,2015-03-09,2015-03-12,regional,2,f,NULL,Completed,55,108,92,74.35,28.16,17.39,19.32,14.14,108,0.6541,0.6759,0.1921,29.4635,23.7825,-8.8362,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015lake,2015,Bayou Regional,1426651200,USA,LA,NULL,2015-03-18,2015-03-21,regional,4,f,NULL,Completed,59,105,89,58.81,40.48,19.25,20.95,14.77,105,0.7041,0.7619,0.1696,33.4403,26.9,-5.4371,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mabos,2015,NE District - Northeastern University Event,1427342400,USA,MA,ne,2015-03-26,2015-03-28,district,5,f,https://www.twitch.tv/nefirst_blue,Completed,40,96,80,98.24,46.7,19.64,29.26,20.24,96,0.74,0.8021,0.1459,30.432,25.3601,-6.7155,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015manda,2015,NE District - UMass - Dartmouth Event,1426132800,USA,MA,ne,2015-03-12,2015-03-14,district,3,f,https://www.twitch.tv/nefirst_blue,Completed,27,70,54,98.24,47.05,13.16,31.97,22.27,70,0.7142,0.7,0.1553,30.4785,25.8508,-8.5473,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015marc,2015,Michigan Advanced Robotics Competition,1434686400,USA,MI,NULL,2015-06-19,2015-06-20,offseason,9,t,NULL,Completed,38,87,70,88.94,65.01,35.6,44.43,21.88,87,0.7412,0.7241,0.1895,64.3023,55.0193,50.711,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015marea,2015,NE District - Reading Event,1425618000,USA,MA,ne,2015-03-06,2015-03-08,district,2,f,https://www.twitch.tv/nefirst_red,Completed,40,97,80,67.55,41.49,18.23,26.84,16.18,97,0.6534,0.6082,0.2299,25.2051,20.6511,-4.9353,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015maspr,2015,NE District - Pioneer Valley Event,1425531600,USA,MA,ne,2015-03-05,2015-03-07,district,2,f,https://www.twitch.tv/nefirst_blue,Completed,33,83,66,61.62,42.86,25.3,32.51,13.27,83,0.6502,0.5904,0.2275,26.9386,21.8478,-5.0169,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mdbb,2015,Battle O'Baltimore,1443240000,USA,MD,NULL,2015-09-26,2015-09-26,offseason,9,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mdcp,2015,Chesapeake Regional,1427860800,USA,MD,NULL,2015-04-01,2015-04-04,regional,6,f,NULL,Completed,58,103,87,74.35,29.28,17.46,18.53,12.63,103,0.6964,0.7282,0.1666,28.8975,23.7457,-8.446,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015melew,2015,NE District - Pine Tree Event,1426132800,USA,ME,ne,2015-03-12,2015-03-14,district,3,f,https://www.twitch.tv/nefirst_red,Completed,31,78,62,56.71,41,19.28,29.51,13.26,78,0.6714,0.6538,0.1897,27.7589,22.9422,-6.1587,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mems,2015,Mainely Spirit,1442635200,USA,ME,NULL,2015-09-19,2015-09-19,offseason,9,t,https://www.youtube.com/watch?v=9ixnS3kuwT8,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mesh,2015,Summer Heat,1437192000,USA,ME,NULL,2015-07-18,2015-07-18,offseason,9,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mibed,2015,FIM District - Bedford Event,1427947200,USA,MI,fim,2015-04-02,2015-04-04,district,6,f,https://www.youtube.com/watch?v=3aM-QiV_iNA,Completed,40,96,80,107.11,51.25,19.3,32.5,24.6,96,0.7597,0.7813,0.1419,34.9645,28.2749,-9.9531,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015micen,2015,FIM District - Center Line Event,1427342400,USA,MI,fim,2015-03-26,2015-03-28,district,5,f,https://www.twitch.tv/firstinmichigan3,Completed,40,96,80,64.4,38.7,13.83,23.21,17.5,96,0.6939,0.6563,0.1926,24.7305,19.7274,-4.6976,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015micmp,2015,FIRST in Michigan District Championship,1428465600,USA,MI,fim,2015-04-08,2015-04-11,district_cmp,7,f,https://www.twitch.tv/firstinmichigan,Completed,102,236,204,107.11,71.93,61.07,48.6,16.39,236,0.6939,0.6864,0.1843,39.5982,32.6156,-11.4331,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015miesc,2015,FIM District - Escanaba Event,1427342400,USA,MI,fim,2015-03-26,2015-03-28,district,5,f,https://www.twitch.tv/firstinmichigan2,Completed,40,96,80,67.06,36.58,21.84,26.94,14.66,96,0.673,0.7292,0.1681,32.9951,27.4623,-10.9442,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mifla,2015,FIM District - Woodhaven Event,1426132800,USA,MI,fim,2015-03-12,2015-03-14,district,3,f,https://www.twitch.tv/firstinmichigan,Completed,39,94,80,107.11,41.73,18.03,27.52,20.15,94,0.7159,0.7447,0.1732,28.3208,22.5332,-4.3803,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015migul,2015,FIM District - Gull Lake Event,1426132800,USA,MI,fim,2015-03-12,2015-03-14,district,3,f,https://www.twitch.tv/firstinmichigan3,Completed,40,96,80,75.84,29.6,17.31,23.3,14.92,96,0.6551,0.6563,0.2083,24.2428,20.094,-2.0186,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mihow,2015,FIM District - Howell Event,1424926800,USA,MI,fim,2015-02-26,2015-02-28,district,1,f,https://www.twitch.tv/firstinmichigan,Completed,40,97,80,76.92,53.87,21.03,32.89,19.9,97,0.6643,0.5979,0.2254,27.8734,23.1731,-3.1567,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015miken,2015,FIM District - Kentwood Event,1425531600,USA,MI,fim,2015-03-05,2015-03-07,district,2,f,https://www.twitch.tv/firstinmichigan3,Completed,40,97,80,76,48.78,24.2,31.89,18.37,97,0.679,0.6907,0.1868,27.8856,23.2656,-2.5276,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015miket,2015,FIM District - Kettering University Event,1425531600,USA,MI,fim,2015-03-05,2015-03-07,district,2,f,https://www.twitch.tv/firstinmichigan2,Completed,41,98,82,69.81,31.31,14.67,21.49,16.01,98,0.6842,0.6633,0.1819,24.9068,20.1588,-3.3774,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015milan,2015,FIM District - Lansing Event,1427947200,USA,MI,fim,2015-04-02,2015-04-04,district,6,f,NULL,Completed,40,96,80,69.81,33.39,15.64,22.88,16.78,96,0.721,0.7917,0.1364,30.7794,24.4867,-7.5511,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015miliv,2015,FIM District - Livonia Event,1427342400,USA,MI,fim,2015-03-26,2015-03-28,district,5,f,https://www.twitch.tv/firstinmichigan,Completed,40,96,80,88.94,50.8,19.73,30.68,20.75,96,0.6889,0.7083,0.1783,36.2714,29.6978,-15.5757,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mimid,2015,FIM District - Great Lakes Bay Region Event,1426737600,USA,MI,fim,2015-03-19,2015-03-21,district,4,f,NULL,Completed,40,96,80,69.81,35.65,18.48,25.11,13.26,96,0.6721,0.75,0.1672,28.3813,22.4392,-9.2213,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015misjo,2015,FIM District - St. Joseph Event,1426737600,USA,MI,fim,2015-03-19,2015-03-21,district,4,f,https://www.twitch.tv/firstinmichigan3,Completed,40,96,80,70.22,53.41,21.34,29.99,18,96,0.6678,0.7396,0.1749,34.7899,28.3808,-14.2946,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015misou,2015,FIM District - Southfield Event,1424926800,USA,MI,fim,2015-02-26,2015-02-28,district,1,f,https://www.twitch.tv/firstinmichigan2,Completed,38,92,76,107.11,33.07,13.14,25.63,24.82,92,0.6989,0.7717,0.1591,23.0987,17.8599,-0.6951,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mista,2015,FIM District - Standish Event,1424926800,USA,MI,fim,2015-02-26,2015-02-28,district,1,f,https://www.twitch.tv/first_glbr,Completed,40,96,80,50.8,35.65,17.1,22.32,11.98,96,0.6274,0.6146,0.229,25.4904,21.8081,-4.2414,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mitry,2015,FIM District - Troy Event,1427947200,USA,MI,fim,2015-04-02,2015-04-04,district,6,f,https://www.twitch.tv/firstinmichigan2,Completed,41,98,82,81.83,47.6,13.47,24.78,19.5,98,0.7491,0.8163,0.1504,30.147,24.0407,-11.8392,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mitvc,2015,FIM District - Traverse City Event,1426132800,USA,MI,fim,2015-03-12,2015-03-14,district,3,f,NULL,Completed,40,96,80,57.65,38.84,20.94,26.51,14.09,96,0.6815,0.7083,0.1854,24.2707,20.128,-6.7019,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015miwat,2015,FIM District - Waterford Event,1425531600,USA,MI,fim,2015-03-05,2015-03-07,district,2,f,https://www.twitch.tv/firstinmichigan,Completed,39,94,78,85.36,48.75,22.92,31.36,19.59,94,0.7164,0.6596,0.2095,29.1371,23.8307,-5.0561,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015miwmi,2015,FIM District - West Michigan Event,1426737600,USA,MI,fim,2015-03-19,2015-03-21,district,4,f,https://www.twitch.tv/firstinmichigan,Completed,40,96,80,85.36,54.82,24.84,37.15,20.28,96,0.6911,0.7708,0.1608,33.0249,26.8118,-15.1382,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mm,2015,Monty Madness,1431748800,USA,NJ,NULL,2015-05-16,2015-05-16,offseason,9,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mndu,2015,Lake Superior Regional,1424840400,USA,MN,NULL,2015-02-25,2015-02-28,regional,1,f,NULL,Completed,63,111,95,50.3,32.53,17.62,17.15,11.39,111,0.6712,0.6937,0.1911,25.3298,20.809,-3.6737,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mndu2,2015,Northern Lights Regional,1424840400,USA,MN,NULL,2015-02-25,2015-02-28,regional,1,f,NULL,Completed,60,106,90,86.56,38.76,20.96,22.03,17.35,106,0.6858,0.717,0.1846,27.7938,22.1581,-6.4931,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mngggt,2015,Gitchi Gummi Get Together,1439524800,USA,MN,NULL,2015-08-14,2015-08-15,offseason,9,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mnmi,2015,Minnesota 10000 Lakes Regional,1427860800,USA,MN,NULL,2015-04-01,2015-04-04,regional,6,f,NULL,Completed,63,111,95,86.56,32.53,17.08,19.2,13.91,111,0.6923,0.7658,0.177,33.2624,25.386,-9.2569,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mnmi2,2015,Minnesota North Star Regional,1427860800,USA,MN,NULL,2015-04-01,2015-04-04,regional,6,f,https://www.twitch.tv/fightingcalculators,Completed,60,116,100,95.26,31.6,17.7,19.19,15.77,116,0.7035,0.7586,0.1591,29.1731,22.652,-5.3436,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mnsc,2015,Minnesota State Championship ,1431748800,USA,MN,NULL,2015-05-16,2015-05-16,offseason,9,t,NULL,Completed,30,49,40,77.48,34.84,21.28,30.51,13.6,49,0.7068,0.7551,0.1556,38.5417,31.7703,-19.8008,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mobp,2015,Bots in the Parkland,1442548800,USA,MO,NULL,2015-09-18,2015-09-19,offseason,9,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mogw,2015,Gateway Robotics Challenge,1445054400,USA,MO,NULL,2015-10-17,2015-10-17,offseason,9,t,NULL,Completed,24,45,28,90.89,38.62,5.91,31.05,22.08,45,0.7617,0.7778,0.1533,46.6295,36.6408,23.1008,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mokc,2015,Greater Kansas City Regional,1426046400,USA,MO,NULL,2015-03-11,2015-03-14,regional,3,f,https://www.twitch.tv/gkcregional01,Completed,54,106,90,87.11,37.33,19.04,22.09,17.6,106,0.7055,0.7075,0.1872,28.6269,22.3037,-3.9476,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mosc,2015,Missouri Robotics State Championship,1431144000,USA,MO,NULL,2015-05-09,2015-05-09,offseason,9,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mosl,2015,St. Louis Regional,1426651200,USA,MO,NULL,2015-03-18,2015-03-21,regional,4,f,https://www.twitch.tv/rdognaux,Completed,43,103,86,85.19,36.19,17.76,24.72,15.89,103,0.6922,0.7864,0.1817,32.246,26.1915,-8.6936,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mrcmp,2015,Mid-Atlantic Robotics District Championship,1428465600,USA,PA,fma,2015-04-08,2015-04-11,district_cmp,7,f,https://www.youtube.com/watch?v=67g0HjVLejQ,Completed,53,122,106,71.97,59.04,36.65,39.53,14.37,122,0.702,0.6885,0.1944,36.6024,29.6883,-6.2983,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mttd,2015,MadTown ThrowDown,1447390800,USA,CA,NULL,2015-11-13,2015-11-15,offseason,9,t,https://www.youtube.com/watch?v=5fcEySj_Xrg,Completed,25,66,50,100.78,20.33,8.84,22.38,23.1,66,0.8156,0.6061,0.2484,121.5935,96.6186,-88.9041,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015mxmc,2015,Mexico City Regional,1425445200,Mexico,NULL,NULL,2015-03-04,2015-03-07,regional,2,f,NULL,Completed,39,88,72,38.51,22.86,12.94,16.57,9.15,88,0.6585,0.5909,0.2579,19.778,15.7946,-4.9763,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015ncre,2015,North Carolina Regional,1426651200,USA,NC,NULL,2015-03-18,2015-03-21,regional,4,f,NULL,Completed,55,108,92,41.08,23.2,13.34,13.49,8.24,108,0.6393,0.6204,0.2405,22.8954,18.1587,-3.619,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015ncth,2015,THOR - North Carolina Off-Season,1444363200,USA,NC,NULL,2015-10-09,2015-10-10,offseason,9,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015necmp,2015,NE FIRST District Championship presented by United Technologies,1428465600,USA,MA,ne,2015-04-08,2015-04-11,district_cmp,7,f,https://www.twitch.tv/nefirst_blue,Completed,60,136,120,98.24,63.25,52.25,47.92,14.87,136,0.6888,0.6912,0.1939,36.2472,29.6145,-10.5157,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015new,2015,Newton Division,1429675200,USA,MO,NULL,2015-04-22,2015-04-25,champs_div,8,f,NULL,Completed,76,143,127,106.39,70.11,47.8,41.5,20.9,143,0.7602,0.7483,0.1624,37.4877,30.8643,-5.879,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015nhbb,2015,Battle of the Bay,1447477200,USA,NH,NULL,2015-11-14,2015-11-14,offseason,9,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015nhdur,2015,NE District - UNH Event,1426824000,USA,NH,ne,2015-03-20,2015-03-22,district,4,f,https://www.twitch.tv/nefirst_blue,Completed,40,96,80,63.25,49.72,23.13,30.45,15.93,96,0.7002,0.6458,0.2077,30.5668,24.3785,-12.3144,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015nhmm,2015,Mayhem in Merrimack,1433563200,USA,NH,NULL,2015-06-06,2015-06-06,offseason,9,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015nhnas,2015,NE District - Granite State Event,1424926800,USA,NH,ne,2015-02-26,2015-02-28,district,1,f,https://www.twitch.tv/nefirst_blue,Completed,40,96,80,98.24,31.93,18.27,25.77,17,96,0.6835,0.6771,0.2159,25.7073,20.4558,-5.4702,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015nhwz,2015,Week Zero,1423890000,USA,NH,NULL,2015-02-14,2015-02-14,preseason,0,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015njbe,2015,Brunswick Eruption,1446872400,USA,NJ,NULL,2015-11-07,2015-11-07,offseason,9,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015njbri,2015,MAR District - Bridgewater-Raritan Event,1427428800,USA,NJ,fma,2015-03-27,2015-03-29,district,5,f,https://www.youtube.com/watch?v=kQQHPf3w9ak,Completed,38,93,76,56.24,37.63,17.91,25.94,14.97,93,0.7124,0.7849,0.1414,30.2445,24.8444,-8.8814,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015njdd,2015,Duel on the Delaware,1445054400,USA,NJ,NULL,2015-10-17,2015-10-17,offseason,9,t,https://www.youtube.com/watch?v=sXdVLZwHCu4,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015njfla,2015,MAR District - Mt. Olive Event,1425618000,USA,NJ,fma,2015-03-06,2015-03-08,district,2,f,https://www.youtube.com/watch?v=P1goJRR5WLc,Completed,38,92,76,71.8,37.63,24.72,27.38,15.51,92,0.661,0.587,0.2173,25.5711,20.6841,-2.3316,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015njmm,2015,MidKnight Mayhem,1435377600,USA,NJ,NULL,2015-06-27,2015-06-27,offseason,9,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015njnbr,2015,MAR District - North Brunswick Event,1427947200,USA,NJ,fma,2015-04-02,2015-04-04,district,6,f,https://www.youtube.com/watch?v=a17sule1SlA,Completed,34,84,68,71.8,39.62,17.91,28.37,16.3,84,0.7263,0.7857,0.1447,29.1411,23.7765,-8.3837,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015njtab,2015,MAR District - Seneca Event,1426824000,USA,NJ,fma,2015-03-20,2015-03-22,district,4,f,https://www.youtube.com/watch?v=3NMb1gK85QI,Completed,37,90,74,71.97,36.81,21.19,27.84,16.85,90,0.7012,0.7889,0.1613,32.0737,25.9904,-7.4935,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015nvlv,2015,Las Vegas Regional,1427256000,USA,NV,NULL,2015-03-25,2015-03-28,regional,5,f,NULL,Completed,42,100,84,97.75,33.01,18.51,26.45,19.99,100,0.7147,0.81,0.141,33.0203,25.876,-8.6515,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015nyli,2015,SBPLI Long Island Regional,1427256000,USA,NY,NULL,2015-03-25,2015-03-28,regional,5,f,NULL,Completed,51,93,77,74.35,34.33,20,21.31,14.95,93,0.6725,0.7204,0.1849,33.2363,26.5467,-7.8096,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015nyny,2015,New York City Regional,1426132800,USA,NY,NULL,2015-03-12,2015-03-15,regional,3,f,NULL,Completed,66,104,88,54.6,27.41,16.61,14.63,10.97,104,0.6768,0.6346,0.2257,24.4234,19.9926,-1.033,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015nyro,2015,Finger Lakes Regional,1427256000,USA,NY,NULL,2015-03-25,2015-03-28,regional,5,f,NULL,Completed,45,100,83,64.54,43.06,23.88,28.14,14.4,100,0.6805,0.62,0.2087,36.4973,28.8126,-11.8994,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015nyrr,2015,Rah Cha Cha Ruckus,1445054400,USA,NY,NULL,2015-10-17,2015-10-17,offseason,9,t,NULL,Completed,36,58,42,114.35,44.63,26.24,35.88,19.97,58,0.7488,0.6552,0.1678,47.2021,39.7621,24.1924,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015nytr,2015,New York Tech Valley Regional,1426651200,USA,NY,NULL,2015-03-18,2015-03-21,regional,4,f,NULL,Completed,36,88,72,86.15,43.15,20.94,31.38,19.85,88,0.6926,0.7841,0.1542,32.4065,25.6287,-9.9146,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015nytv,2015,Tech Valley Robot Rumble,1446872400,USA,NY,NULL,2015-11-07,2015-11-07,offseason,9,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015ohci,2015,Queen City Regional,1427860800,USA,OH,NULL,2015-04-01,2015-04-04,regional,6,f,NULL,Completed,47,103,87,85.19,43.52,25.11,28.84,16,103,0.6898,0.7476,0.1749,33.5728,27.8448,-9.4199,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015ohcl,2015,Buckeye Regional,1427256000,USA,OH,NULL,2015-03-25,2015-03-28,regional,5,f,https://www.twitch.tv/highlandrobotics2603,Completed,56,100,84,63.36,39.11,20.54,22.56,14.04,100,0.6756,0.69,0.1868,31.405,25.0721,-10.5619,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015ohmv,2015,Mahoning Valley Robotics Challenge,1443240000,USA,OH,NULL,2015-09-26,2015-09-26,offseason,9,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015ohri,2015,CORI Robotics Invitational,1434772800,USA,OH,NULL,2015-06-20,2015-06-20,offseason,9,t,https://www.youtube.com/watch?v=yWUfAjxC5XM,Completed,30,36,20,78.07,43.06,9.68,28.3,18.59,36,0.7685,0.8056,0.1555,32.0426,27.5467,6.8739,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015ohst,2015,Ohio FRC State Tournament,1432958400,USA,OH,NULL,2015-05-30,2015-05-30,offseason,9,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015okok,2015,Oklahoma Regional,1427256000,USA,OK,NULL,2015-03-25,2015-03-28,regional,5,f,https://www.twitch.tv/stevenbell,Completed,61,109,92,83.82,25.39,19.4,19.02,13.67,109,0.7088,0.7431,0.1546,29.5822,23.8251,-5.9621,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015onffj,2015,Fall Fiesta (Junior),1445572800,Canada,ON,NULL,2015-10-23,2015-10-23,offseason,9,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015onffs,2015,Fall Fiesta (Senior),1445659200,Canada,ON,NULL,2015-10-24,2015-10-24,offseason,9,t,NULL,Invalid,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
