key,year,name,time,country,state,district,start_date,end_date,type,week,offseason,video,status,num_teams,current_match,qual_matches,epa_max,epa_top_8,epa_top_24,epa_mean,epa_sd,count,epa_conf,epa_acc,epa_mse,epa_score_rmse,epa_score_mae,epa_score_error,rp_count,epa_rp_1_error,epa_rp_1_acc,epa_rp_1_ll,epa_rp_1_f1,epa_rp_2_error,epa_rp_2_acc,epa_rp_2_ll,epa_rp_2_f1
2002tx,2002,Lone Star Regional,1016082000,USA,TX,NULL,2002-03-14,2002-03-16,regional,2,f,NULL,Completed,43,111,97,18.1,13.92,11.39,11.94,2.39,111,0.6123,0.6126,0.2401,10.9619,8.9694,-4.0999,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002va,2002,NASA Langley / VCU Regional,1015477200,USA,VA,NULL,2002-03-07,2002-03-09,regional,1,f,NULL,Completed,66,132,132,18.53,14.68,12.58,11.96,2.36,132,0.6011,0.5303,0.2494,10.4533,8.4226,-3.4359,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2002wa,2002,Pacific Northwest Regional,1017291600,USA,WA,NULL,2002-03-28,2002-03-30,regional,4,f,NULL,Completed,34,111,94,17.45,13.8,10.01,11.96,2.42,111,0.6159,0.5135,0.2715,12.519,10.0041,-4.4505,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003arc,2003,Archimedes Division,1049947200,USA,TX,NULL,2003-04-10,2003-04-12,champs_div,8,f,NULL,Completed,73,142,128,50,39.84,30.3,24.58,11.79,142,0.7178,0.5775,0.2609,32.8464,25.2724,-1.4697,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003az,2003,Arizona Regional,1047531600,USA,AZ,NULL,2003-03-13,2003-03-15,regional,2,f,NULL,Completed,37,116,102,46.29,30.6,16.3,21.07,11.22,116,0.7033,0.6552,0.2226,33.4218,25.4428,-4.5248,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003ca,2003,Southern California Regional,1049346000,USA,CA,NULL,2003-04-03,2003-04-05,regional,5,f,NULL,Completed,58,116,102,52.3,34.05,19.06,18.85,12,116,0.6884,0.6638,0.2156,36.651,28.3185,-10.0645,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003cmp,2003,Einstein Field,1050120000,USA,TX,NULL,2003-04-12,2003-04-12,einstein,8,f,NULL,Completed,12,6,0,48.57,34.06,NULL,38.8,6.75,6,0.689,1,0.1085,53.3386,49.1017,46.6533,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003ct,2003,UTC New England Regional,1047531600,USA,CT,NULL,2003-03-13,2003-03-15,regional,2,f,NULL,Completed,38,109,95,48.55,30.6,17.33,21.17,11.12,109,0.6782,0.6606,0.2232,31.8299,24.5356,-3.1333,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003cur,2003,Curie Division,1049947200,USA,TX,NULL,2003-04-10,2003-04-12,champs_div,8,f,NULL,Completed,72,140,126,55.56,43.28,31.97,25.98,12.49,140,0.7157,0.6929,0.1938,31.6959,24.5758,3.3531,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003fl,2003,Central Florida Regional,1048136400,USA,FL,NULL,2003-03-20,2003-03-22,regional,3,f,NULL,Completed,41,117,103,46.47,35,18.44,21.61,13.46,117,0.7019,0.5641,0.2535,42.6076,31.4182,-9.1036,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003ga,2003,Peachtree Regional,1048741200,USA,GA,NULL,2003-03-27,2003-03-29,regional,4,f,NULL,Completed,42,109,95,38.68,29.68,17.5,18.75,10.62,109,0.6631,0.6606,0.2089,34.862,25.8293,-5.4023,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003gal,2003,Galileo Division,1049947200,USA,TX,NULL,2003-04-10,2003-04-12,champs_div,8,f,NULL,Completed,73,142,128,39,33.89,27.59,23.42,8.63,142,0.6776,0.5704,0.2549,27.7696,21.5309,1.5912,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003gl,2003,Great Lakes Regional,1048136400,USA,MI,NULL,2003-03-20,2003-03-22,regional,3,f,NULL,Completed,68,116,102,48.89,33.83,25.98,21.35,10.51,116,0.6851,0.6207,0.2365,34.6224,25.8546,-5.3965,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003il,2003,Midwest Regional,1048741200,USA,IL,NULL,2003-03-27,2003-03-29,regional,4,f,NULL,Completed,53,120,106,45.34,32.21,21.16,20.87,10.34,120,0.6912,0.65,0.2298,32.561,23.2695,-4.8444,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003li,2003,SBPLI Long Island Regional,1048136400,USA,NY,NULL,2003-03-20,2003-03-22,regional,3,f,NULL,Completed,33,97,83,52.8,33.2,13.47,22.73,13.21,97,0.6993,0.701,0.1956,33.4273,25.2701,0.5799,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003md,2003,Chesapeake Regional,1047531600,USA,MD,NULL,2003-03-13,2003-03-15,regional,2,f,NULL,Completed,55,111,97,36.55,32.01,24.97,20.47,11.15,111,0.6566,0.5495,0.2575,38.3239,27.7995,-8.1028,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003mi,2003,West Michigan Regional,1049346000,USA,MI,NULL,2003-04-03,2003-04-05,regional,5,f,NULL,Completed,45,114,102,46.86,32.93,19.3,21.07,10.75,114,0.6932,0.5877,0.2228,32.6722,25.0908,-5.124,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003mo,2003,St. Louis Regional,1046926800,USA,MO,NULL,2003-03-06,2003-03-08,regional,1,f,NULL,Completed,55,124,110,42.61,29.99,20.57,19.79,9.12,124,0.6934,0.6613,0.2125,32.0295,24.0728,-9.4509,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003new,2003,Newton Division,1049947200,USA,TX,NULL,2003-04-10,2003-04-12,champs_div,8,f,NULL,Completed,73,142,128,51.96,39.33,28.16,23.89,11.43,142,0.7099,0.6549,0.2012,31.3826,24.1179,1.0664,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003nh,2003,BAE SYSTEMS Granite State Regional,1046926800,USA,NH,NULL,2003-03-06,2003-03-08,regional,1,f,NULL,Completed,44,124,110,49.44,33.35,20.11,22.4,11.84,124,0.6963,0.6532,0.2213,32.7158,25.7627,0.3753,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003nj,2003,J&J Mid-Atlantic Regional,1049346000,USA,NJ,NULL,2003-04-03,2003-04-05,regional,5,f,NULL,Completed,44,124,110,39.29,28.17,16.05,19.38,8.89,124,0.6735,0.5968,0.2353,29.1402,22.0019,-5.623,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003ny,2003,New York City Regional,1048136400,USA,NY,NULL,2003-03-20,2003-03-22,regional,3,f,NULL,Completed,30,97,83,51.97,30.8,8.17,19.78,14.55,97,0.689,0.6082,0.222,36.7761,27.4302,-4.5347,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003oh,2003,Buckeye Regional,1046926800,USA,OH,NULL,2003-03-06,2003-03-08,regional,1,f,NULL,Completed,63,125,111,41.34,30.47,24.06,20.35,8.94,125,0.6656,0.568,0.2366,28.2354,22.3524,-5.7286,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003on,2003,Canadian Regional,1048741200,Canada,ON,NULL,2003-03-27,2003-03-29,regional,4,f,NULL,Completed,51,116,102,43.96,32.08,20.08,19.2,12.52,116,0.6636,0.6207,0.2301,37.7301,28.8109,-8.4048,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003pa,2003,Philadelphia Regional,1048741200,USA,PA,NULL,2003-03-27,2003-03-29,regional,4,f,NULL,Completed,44,113,99,52.48,31.4,22.34,22.25,10.44,113,0.665,0.5752,0.2604,30.4946,24.3642,-2.6231,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003pit,2003,Pittsburgh Regional,1047531600,USA,PA,NULL,2003-03-13,2003-03-15,regional,2,f,NULL,Completed,34,99,85,41.32,25.97,15.06,20.02,9.46,99,0.6693,0.5758,0.2516,30.7915,23.6359,-3.1377,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003sac,2003,Sacramento Regional,1046926800,USA,CA,NULL,2003-03-06,2003-03-08,regional,1,f,NULL,Completed,27,108,94,43.78,30.56,1.8,20.16,13.56,108,0.7012,0.713,0.1906,33.4661,24.3001,-4.5552,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003sj,2003,Silicon Valley Regional,1048741200,USA,CA,NULL,2003-03-27,2003-03-29,regional,4,f,NULL,Completed,46,118,104,41.16,32.32,21.28,21.59,10.24,118,0.6713,0.6186,0.2385,32.12,25.6933,-1.4842,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003tx,2003,Lone Star Regional,1049346000,USA,TX,NULL,2003-04-03,2003-04-05,regional,5,f,NULL,Completed,31,100,86,45.7,28.36,11.14,19.82,11.56,100,0.6608,0.57,0.2392,35.0918,27.6243,-5.5321,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003va,2003,NASA / VCU Regional,1046926800,USA,VA,NULL,2003-03-06,2003-03-08,regional,1,f,NULL,Completed,61,121,107,46.2,30.99,22.86,20.13,9.58,121,0.6712,0.595,0.2418,34.1213,27.0731,-7.2559,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2003wa,2003,Pacific Northwest Regional,1049346000,USA,WA,NULL,2003-04-03,2003-04-05,regional,5,f,NULL,Completed,37,107,93,54.91,29.73,15.4,20.05,12.22,107,0.6796,0.6729,0.2089,37.204,27.6834,-9.3085,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004arc,2004,Archimedes Division,1082001600,USA,GA,NULL,2004-04-15,2004-04-17,champs_div,8,f,NULL,Completed,73,147,128,79.34,59.65,47.16,37.89,17.55,147,0.6825,0.7211,0.1883,42.4057,33.4866,-1.791,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004az,2004,Arizona Regional,1078981200,USA,AZ,NULL,2004-03-11,2004-03-13,regional,2,f,NULL,Completed,36,81,81,54.22,32.78,15.68,22.68,12.27,81,0.6939,0.6667,0.1852,27.0868,22.359,1.9855,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004ca,2004,Southern California Regional,1080190800,USA,CA,NULL,2004-03-25,2004-03-27,regional,4,f,NULL,Completed,57,117,100,71.27,36.1,24.83,23.63,13.54,117,0.7061,0.6923,0.1978,31.2227,24.9739,-2.35,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004cmp,2004,Einstein Field,1082174400,USA,GA,NULL,2004-04-17,2004-04-17,einstein,8,f,NULL,Completed,12,8,0,79.66,53.2,NULL,55.06,14.42,8,0.6557,0.625,0.2203,39.9519,33.2706,3.5756,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004co,2004,Colorado Regional,1080190800,USA,CO,NULL,2004-03-25,2004-03-27,regional,4,f,NULL,Completed,43,103,86,70.75,36.07,20.32,23.1,13.33,103,0.6895,0.6893,0.1995,29.6195,23.1485,-4.0901,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004ct,2004,UTC New England Regional,1079586000,USA,CT,NULL,2004-03-18,2004-03-20,regional,3,f,NULL,Completed,38,101,86,65.92,54.25,30.38,37.16,15.38,101,0.6593,0.6832,0.2134,39.9392,32.4366,-10.1565,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004cur,2004,Curie Division,1082001600,USA,GA,NULL,2004-04-15,2004-04-17,champs_div,8,f,NULL,Completed,73,145,128,67.83,56.76,43.91,37.74,14.07,145,0.6433,0.5931,0.2125,38.8009,31.5391,-4.2913,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004dt,2004,Detroit Regional,1079586000,USA,MI,NULL,2004-03-18,2004-03-20,regional,3,f,NULL,Completed,32,95,80,43.01,35.87,19.83,26.21,10.33,95,0.6485,0.6105,0.2185,30.1186,24.3763,-3.5748,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004fl,2004,Florida Regional,1078981200,USA,FL,NULL,2004-03-11,2004-03-13,regional,2,f,NULL,Completed,41,103,103,61.51,39.37,22.23,26.86,14.11,103,0.6947,0.6796,0.2207,29.6362,24.4557,-1.5052,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004ga,2004,Peachtree Regional,1079586000,USA,GA,NULL,2004-03-18,2004-03-20,regional,3,f,NULL,Completed,46,109,92,59.27,35.1,18.48,21.42,11.88,109,0.6684,0.6789,0.199,27.4797,20.9414,0.5295,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004gal,2004,Galileo Division,1082001600,USA,GA,NULL,2004-04-15,2004-04-17,champs_div,8,f,NULL,Completed,73,142,128,78.19,53.52,43.05,35.55,15.75,142,0.6744,0.6761,0.2127,38.9411,32.162,-2.2901,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004gl,2004,Great Lakes Regional,1078981200,USA,MI,NULL,2004-03-11,2004-03-13,regional,2,f,NULL,Completed,62,109,109,59.39,39.95,28.99,26.15,11.76,109,0.6667,0.6606,0.1907,29.5987,24.0209,-1.1936,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004il,2004,Midwest Regional,1080190800,USA,IL,NULL,2004-03-25,2004-03-27,regional,4,f,NULL,Completed,53,110,93,67.7,56.14,30.38,32.65,16.19,110,0.6857,0.6182,0.2188,37.8009,29.191,-8.8527,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004li,2004,SBPLI Long Island Regional,1079586000,USA,NY,NULL,2004-03-18,2004-03-20,regional,3,f,NULL,Completed,36,105,90,59.67,38.59,22.94,28.88,11.17,105,0.6709,0.6476,0.2252,33.8452,27.8569,-1.3241,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004md,2004,Chesapeake Regional,1079586000,USA,MD,NULL,2004-03-18,2004-03-20,regional,3,f,NULL,Completed,58,119,102,58.07,39.98,29.24,26.94,11.9,119,0.6557,0.5966,0.2193,33.9798,26.6542,-5.1343,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2004mi,2004,West Michigan Regional,1080795600,USA,MI,NULL,2004-04-01,2004-04-03,regional,5,f,NULL,Completed,47,111,94,71.87,50.36,33.13,34.92,14.38,111,0.6707,0.6216,0.2279,39.6908,31.6653,-6.4508,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
