year,score_mean,score_sd,foul_mean,no_foul_mean,auto_mean,teleop_mean,endgame_mean,rp_1_mean,rp_2_mean,tiebreaker_mean,comp_1_mean,comp_2_mean,comp_3_mean,comp_4_mean,comp_5_mean,comp_6_mean,comp_7_mean,comp_8_mean,comp_9_mean,comp_10_mean,comp_11_mean,comp_12_mean,comp_13_mean,comp_14_mean,comp_15_mean,comp_16_mean,comp_17_mean,comp_18_mean,epa_99p,epa_90p,epa_75p,epa_25p,auto_epa_99p,auto_epa_90p,auto_epa_75p,auto_epa_25p,teleop_epa_99p,teleop_epa_90p,teleop_epa_75p,teleop_epa_25p,endgame_epa_99p,endgame_epa_90p,endgame_epa_75p,endgame_epa_25p,rp_1_epa_99p,rp_1_epa_90p,rp_1_epa_75p,rp_1_epa_25p,rp_2_epa_99p,rp_2_epa_90p,rp_2_epa_75p,rp_2_epa_25p,comp_1_epa_99p,comp_1_epa_90p,comp_1_epa_75p,comp_1_epa_25p,comp_2_epa_99p,comp_2_epa_90p,comp_2_epa_75p,comp_2_epa_25p,comp_3_epa_99p,comp_3_epa_90p,comp_3_epa_75p,comp_3_epa_25p,comp_4_epa_99p,comp_4_epa_90p,comp_4_epa_75p,comp_4_epa_25p,comp_5_epa_99p,comp_5_epa_90p,comp_5_epa_75p,comp_5_epa_25p,comp_6_epa_99p,comp_6_epa_90p,comp_6_epa_75p,comp_6_epa_25p,comp_7_epa_99p,comp_7_epa_90p,comp_7_epa_75p,comp_7_epa_25p,comp_8_epa_99p,comp_8_epa_90p,comp_8_epa_75p,comp_8_epa_25p,comp_9_epa_99p,comp_9_epa_90p,comp_9_epa_75p,comp_9_epa_25p,comp_10_epa_99p,comp_10_epa_90p,comp_10_epa_75p,comp_10_epa_25p,comp_11_epa_99p,comp_11_epa_90p,comp_11_epa_75p,comp_11_epa_25p,comp_12_epa_99p,comp_12_epa_90p,comp_12_epa_75p,comp_12_epa_25p,comp_13_epa_99p,comp_13_epa_90p,comp_13_epa_75p,comp_13_epa_25p,comp_14_epa_99p,comp_14_epa_90p,comp_14_epa_75p,comp_14_epa_25p,comp_15_epa_99p,comp_15_epa_90p,comp_15_epa_75p,comp_15_epa_25p,comp_16_epa_99p,comp_16_epa_90p,comp_16_epa_75p,comp_16_epa_25p,comp_17_epa_99p,comp_17_epa_90p,comp_17_epa_75p,comp_17_epa_25p,comp_18_epa_99p,comp_18_epa_90p,comp_18_epa_75p,comp_18_epa_25p,count,epa_conf,epa_acc,epa_mse,champs_count,epa_champs_conf,epa_champs_acc,epa_champs_mse,epa_score_rmse,epa_score_mae,epa_score_error,epa_champs_score_rmse,epa_champs_score_mae,epa_champs_score_error,rp_count,epa_rp_1_error,epa_rp_1_acc,epa_rp_1_ll,epa_rp_1_f1,epa_rp_2_error,epa_rp_2_acc,epa_rp_2_ll,epa_rp_2_f1,champs_rp_count,epa_champs_rp_1_error,epa_champs_rp_1_acc,epa_champs_rp_1_ll,epa_champs_rp_1_f1,epa_champs_rp_2_error,epa_champs_rp_2_acc,epa_champs_rp_2_ll,epa_champs_rp_2_f1
2012,18.91,15.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.38,13.98,9.16,2.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7707,0.705,0.7149,0.1807,671,0.736,0.7392,0.1746,12.6771,9.8633,-2.4802,15.0353,11.8795,-2.2817,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2013,51.01,31.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.35,35.9,23.55,8.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8242,0.7159,0.7452,0.169,611,0.7444,0.7398,0.1641,25.4211,19.5403,-4.6907,31.6306,24.6252,-8.9836,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,75.4,48.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.71,53.55,38.3,16.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10663,0.6999,0.7142,0.1861,744,0.7246,0.7419,0.1778,42.9471,32.9728,-5.4653,48.2598,38.1305,-0.1557,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,48.9,33.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.57,43.31,27.75,11.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11810,0.6994,0.7129,0.1825,1161,0.7415,0.7382,0.177,31.0759,24.7415,-7.3571,38.4041,30.7632,-6.6938,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,69.54,27.51,2.98,62.98,16.23,36.9,9.85,0.59,0.03,16.23,1.28,14.45,0.02,0.04,28.81,1.73,0.92,8.29,1.56,7.21,2.72,0,0,0,0,0,0,0,53.24,36.76,29.53,18.36,15.54,10.54,8.86,4.58,31.24,20.86,16.31,9.91,11.3,6.13,4.89,2.45,0.6529,0.4773,0.3593,0.1321,0.4156,0.1541,-0.0146,-0.1598,1.51,0.89,0.6,0.14,11.27,9.54,8.19,3.79,0.22,0.05,0.01,-0.01,0.62,0.13,0.06,-0.02,14.42,12.08,10.81,8.07,4,2.12,1.13,0.17,4.43,1.64,0.56,0.04,5.5,4.61,3.97,2.1,9.4,2.6,1.19,-0.21,3.65,3.12,2.86,2.14,5.1,3.29,2.02,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13286,0.7399,0.7314,0.1762,1144,0.7572,0.7456,0.1739,19.2056,14.4702,-1.6372,22.8442,16.1922,1.0227,22126,-0.046,0.7461,0.5024,0.8211,0.04,0.8846,0.2631,0.5552,2000,-0.0182,0.922,0.2576,0.9592,0.1536,0.6765,0.6147,0.5885
2017,179.24,70.5,8.09,170.94,19.35,88.87,62.72,0,0,179.03,12.14,0.1,0.68,6.51,0.97,3.36,87.76,62.72,1.82,4.64,0,0,0,0,0,0,0,0,124.8,104.48,91.14,52.05,19.94,12.75,10.43,5.6,59.94,49.38,41.8,27.23,54.34,46.17,38.85,15.73,0.4671,0.0464,-0.2107,-0.3377,0.2258,-0.2284,-0.2805,-0.3382,5.78,5.28,5.03,4.06,1.29,0.19,0.03,-0.03,10.8,1.29,0.55,-0.1,10.02,6.92,5.08,1.55,5.68,1.06,0.32,-0.24,35.68,3.74,1.71,-0.47,57.35,48.29,41.11,27.05,54.34,46.17,38.85,15.73,23.39,2.18,1.05,-0.14,4.84,3.88,3.08,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15429,0.7057,0.672,0.2039,1591,0.7124,0.6644,0.2142,57.1248,44.909,-9.4562,58.0406,45.1272,-3.7903,25366,-0.0731,0.9068,0.6977,0.0626,0.0763,0.9287,0.1955,0.1014,2700,-0.3121,0.6044,2.4744,0.104,0.229,0.6907,0.6065,0.1574
2018,264.23,106.7,16.2,248.24,21.25,185.33,41.66,0.27,0.03,41.66,12.39,3.89,0.54,106.4,56.37,22.56,0.5,0.73,0.5,0.27,0,0,0,0,0,0,0,0,211.36,167.23,143.86,107.46,25.72,21.6,18.87,14.8,158.37,124.36,106.43,80.75,33.36,24.23,18.9,9.95,0.5791,0.3929,0.2714,0.0489,0.4547,0.0594,-0.0539,-0.1628,5.81,5.27,4.99,4.01,4.95,3.22,2.23,0.67,2.76,1.02,0.44,-0.11,56.49,48.24,42.1,26.21,51.66,32.53,22.86,5.39,19.51,13.48,10.53,5.11,0.25,0.19,0.17,0.14,0.62,0.46,0.34,0.13,0.69,0.37,0.21,0.03,0.36,0.17,0.1,-0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16930,0.7266,0.7438,0.1786,1587,0.841,0.7467,0.1785,85.87,67.9753,15.4155,76.7907,59.0171,10.0308,28286,-0.0517,0.7042,0.5783,0.6561,-0.0244,0.9185,0.2314,0.2289,2712,-0.0397,0.7817,0.499,0.8698,-0.072,0.7673,0.5065,0.3868
2019,44.75,17.13,2.28,42.6,10.98,21.02,10.59,0.02,0.22,14.46,10.98,1.27,4.14,1.31,0.48,0.21,0.49,0.14,0.06,10.57,2.69,8.1,0,0,0,0,0,0,33.77,25.53,20.54,11.91,5.93,5.37,4.92,3.36,22.48,15.12,11.06,5.09,8.96,6.74,4.92,2.51,0.4181,-0.0017,-0.0869,-0.1893,0.7196,0.4172,0.1839,-0.0075,5.93,5.37,4.92,3.36,1.88,0.9,0.63,0.25,3.25,2.56,2.14,1.07,1.61,1.13,0.78,0.2,1.41,0.66,0.29,-0,1.06,0.37,0.15,-0.03,1.41,0.73,0.36,-0,1.09,0.32,0.12,-0.04,0.68,0.17,0.06,-0.03,8.96,6.74,4.92,2.51,6.49,3.05,1.61,0.26,8.91,5.86,4.26,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18022,0.7297,0.7318,0.1741,1588,0.7447,0.7236,0.1726,12.2858,9.4937,-1.5736,12.7714,9.9466,0.9215,29832,-0.0236,0.937,0.2035,0.1384,-0.3486,0.611,1.6084,0.14,2716,-0.0589,0.8203,0.4406,0.2845,-0.4258,0.4378,1.3498,0.3894
2020,93.39,44.96,8.93,84.53,28.32,20.97,35.25,0,0.12,28.32,12.66,0.35,2.75,0.66,2.02,7.42,1.33,0.12,35.23,14.52,0,0,0,0,0,0,0,0,73.65,48.91,36.66,17.02,23.21,16,12.6,6.01,26.98,13.74,8.66,2.83,29.43,22.69,16.74,6.28,-0.3333,-0.3357,-0.3357,-0.3363,0.3856,0.1848,0.0795,-0.0856,6.37,5.57,5.08,3.8,1.59,0.39,0.18,-0.03,3.16,2.07,1.46,0.27,1.42,0.55,0.29,0.01,6.88,2.22,0.87,-0.07,9.86,5.34,3.2,0.79,2.64,1.03,0.59,0.04,0.92,0.03,0.01,-0.01,29.43,22.69,16.74,6.28,15.71,9.09,6.32,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4634,0.7284,0.7266,0.1804,0,NULL,NULL,NULL,32.3848,25.2191,-3.4466,NULL,NULL,NULL,7612,0.0024,1,0.0024,0,-0.0167,0.8534,0.3856,0.0412,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022,41.41,22.07,2.42,39.12,11.68,15.7,11.74,0.12,0.23,39.12,4.6,0.65,1.44,3.24,6.23,11.74,11.53,0,0.5,1,0,0,0,0,0,0,0,0,49.67,31.71,21.65,8.8,13.59,8.57,6.14,2.87,28.19,14.93,8.88,2.69,12.96,9.84,6.7,2.15,0.7731,0.3948,0.1756,-0.0691,0.5844,0.4041,0.2633,-0.0105,2.32,2.12,1.99,1.49,1.28,0.7,0.32,0.03,2.91,1.62,0.99,0.19,7.55,3.21,1.45,0.08,14.32,7.38,3.93,0.69,12.96,9.84,6.7,2.15,16.39,9.69,6.5,2.23,0,0,0,0,0.11,0.02,0.01,-0.01,0.22,0.04,0.01,-0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14645,0.7573,0.7809,0.1449,869,0.7847,0.7687,0.1501,15.4174,11.7949,-1.6315,19.863,15.3931,1.5683,24096,-0.0027,0.8403,0.3576,0.7484,-0.0439,0.725,0.5434,0.6334,1512,-0.0077,0.8796,0.2966,0.9316,-0.0275,0.7976,0.4833,0.8794
2023,74.59,29.37,4.36,70.35,19.52,32.7,18.13,0.03,0.38,70.35,11.58,1.67,7.95,7.34,24.84,3.47,1.74,3.79,4.54,15.5,4.46,17.26,9,1.57,32.78,18.13,0,0,67.46,49.8,36.46,17.95,16.95,13.22,10.4,4.65,40.61,28.14,19.03,7.58,10.31,8.57,7.5,4.66,0.6491,0.3232,0.112,-0.1436,0.5516,0.3987,0.2947,0.0731,8.58,6.81,5.53,2.73,2.03,1.24,0.99,0.41,10.62,6.66,5.06,1.65,7.53,5.43,3.89,1.85,28.18,19.56,13.23,5.55,4.11,2.57,1.95,0.94,3.62,1.9,1.09,0.21,4.87,3.53,2.25,0.53,5.07,3.37,2.53,1.33,15.43,10.86,8.57,4.18,5.63,4.01,2.56,0.69,23.46,16.38,10.14,2.53,9.38,6.64,4.82,2.35,2.98,1.88,1.18,0.36,36.98,26.01,17.91,7.41,10.31,8.57,7.5,4.66,0,0,0,0,0,0,0,0,16316,0.7497,0.7648,0.1559,1175,0.7735,0.7438,0.1607,19.6931,15.327,-2.8399,19.9595,15.4701,0.5963,27076,-0.0105,0.8669,0.305,0.6863,-0.0369,0.6676,0.6192,0.6921,2070,-0.0029,0.7681,0.4844,0.8304,0.0235,0.7647,0.551,0.8622
2024,49.08,21.38,6.14,42.94,16.84,22.52,3.58,0.23,0.11,0.25,3.5,2.67,13.34,10.69,22.52,3.27,3.27,10.09,32.59,1.47,13.36,35.86,1.46,1.61,0.03,0.44,0.04,0,27.23,18.88,15.04,10.04,10.71,7.4,5.9,3.94,14.33,9.9,7.88,5.26,2.3,1.57,1.25,0.84,0.1418,0.091,0.07,0.0431,0.0297,0.0046,-0.0056,-0.0185,2.19,1.54,1.23,0.82,1.7,1.17,0.94,0.62,8.49,5.87,4.67,3.12,6.78,4.7,3.74,2.5,14.33,9.9,7.88,5.26,2.09,1.44,1.14,0.76,2.09,1.44,1.14,0.76,6.4,4.44,3.53,2.36,20.69,14.36,11.42,7.62,0.95,0.65,0.51,0.34,8.47,5.88,4.68,3.12,22.81,15.8,12.55,8.38,0.91,0.64,0.51,0.34,1.04,0.71,0.56,0.38,0.02,0.01,0.01,0.01,0.29,0.19,0.15,0.1,0.03,0.02,0.01,0.01,0,0,0,0,153,0.701,0.6928,0.1692,0,NULL,NULL,NULL,15.6504,12.3588,-0.5555,NULL,NULL,NULL,244,0.0246,0.7664,0.4862,0.5128,-0.0129,0.8607,0.3908,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
