team,name,state,country,district,active,elo,elo_recent,elo_mean,elo_max,wins,losses,ties,count,winrate
85,B.O.B. (Built on Brains),MI,USA,fim,1,1685.58,1757.55,1671.9,1907.67,503,360,13,876,0.5816
86,Team Resistance,FL,USA,None,1,1630.38,1662.98,1610.83,1740.47,216,156,7,379,0.5792
87,Diablo,NJ,USA,fma,1,1463.4232000000002,1474.15,1546.26,1657.4,214,243,13,470,0.4691
88,TJ²,MA,USA,ne,1,1750.75,1744.11,1626.92,1803.92,415,300,13,728,0.579
92,RoboPats,IL,USA,None,0,NULL,NULL,1471.57,1544.31,15,23,1,39,0.3974
93,NEW Apple Corps,WI,USA,None,1,1539.71,1595.43,1603.89,1706.69,295,233,12,540,0.5574
94,The  Ninetyfouriors,MI,USA,fim,1,1537.06,1570.53,1530.1,1608.07,208,241,17,466,0.4646
95,Grasshoppers,VT,USA,ne,1,1746.61,1778.22,1581.76,1889.54,328,282,11,621,0.537
96,JESTER,MA,USA,None,0,NULL,NULL,1507.15,1614.95,27,29,1,57,0.4825
97,Bionic Beef,MA,USA,ne,1,1537.5,1503.07,1514.5,1614.62,159,180,15,354,0.4703
100,The WildHats,CA,USA,None,1,1501.2528,1522.68,1581.43,1793.44,252,240,8,500,0.512
101,Striker,IL,USA,None,1,1491.07,1528.96,1504.2,1578.52,96,110,12,218,0.4679
102,The Gearheads,NJ,USA,fma,1,1605.7608,1636.43,1584.45,1664.27,307,289,10,606,0.5149
103,Cybersonics,PA,USA,fma,1,1707.93,1719.15,1733.3,1897.9,520,327,18,865,0.6116
104,Team Universal,PA,USA,None,0,NULL,NULL,1504.87,1550.59,34,37,4,75,0.48
105,Team 105,MA,USA,None,0,NULL,NULL,1519.55,1519.55,7,4,0,11,0.6364
107,Team R.O.B.O.T.I.C.S.,MI,USA,fim,1,1651.9688,1676.28,1655.08,1915.98,450,346,20,816,0.5637
108,SigmaC@T Robotics Team,FL,USA,None,1,1557.28,1599.83,1577.67,1652.83,263,274,13,550,0.49
109,Team 109,IL,USA,None,0,NULL,NULL,1538.69,1538.69,4,5,0,9,0.4444
111,WildStang,IL,USA,None,1,1733.61,1721.3,1756.13,1965.34,517,225,13,755,0.6934
112,Plus One,IL,USA,None,0,NULL,NULL,1521.76,1521.76,7,11,0,18,0.3889
114,Eaglestrike,CA,USA,None,1,1547.59,1585.28,1563.34,1641.01,257,237,13,507,0.5197
115,MVRT,CA,USA,None,1,1775.93,1703.76,1584.37,1775.93,278,237,8,523,0.5392
116,Epsilon Delta,VA,USA,chs,1,1487.69,1543.97,1535.96,1704.61,198,222,9,429,0.472
117,Steel Dragons Robotics,PA,USA,None,1,1528.76,1481.78,1429.84,1528.76,95,133,6,234,0.4188
118,Robonauts,TX,USA,fit,1,1820.46,1875.63,1818.13,2037.05,722,193,9,924,0.7863
120,Cleveland's Team,OH,USA,None,1,1598.9944,1614.95,1504.59,1679.66,223,274,9,506,0.4496
121,Rhode Warriors,RI,USA,ne,1,1638.29,1605.09,1632.95,1820.24,266,184,9,459,0.5893
122,NASA Knights,VA,USA,chs,1,1553.74,1598.25,1593.46,1689.12,266,236,8,510,0.5294
123,Team - Cosmos,MI,USA,fim,1,1578.5783999999999,1602.04,1600.54,1682.75,375,328,15,718,0.5327
125,NUTRONs,MA,USA,ne,1,1721.4904000000001,1790.97,1641.59,1925.52,592,334,13,939,0.6374
126,Gael Force,MA,USA,ne,1,1649.29,1644.05,1672.31,1768.17,394,277,14,685,0.5854
128,The Botcats,OH,USA,None,1,1489.29,1431.11,1533.64,1725.44,164,168,7,339,0.4941
131,C.H.A.O.S.,NH,USA,ne,1,1616.78,1632.51,1600.61,1772.11,250,167,8,425,0.5976
133,B.E.R.T.,ME,USA,ne,1,1786.95,1815.71,1598.73,1918.31,354,195,9,558,0.6425
134,Team Discovery,NH,USA,None,0,NULL,NULL,1544.37,1587.71,103,104,11,218,0.4977
135,Penn Robotics,IN,USA,fin,1,1612.76,1691.11,1662.15,1807.78,393,297,8,698,0.5688
136,Killer Kardinals,NJ,USA,fma,1,1428.2592,1416.5,1470.31,1535.77,95,187,9,291,0.3419
138,Entropy,NH,USA,ne,1,1573.11,1614.13,1583.65,1716.17,240,204,10,454,0.5396
140,Tigers,MA,USA,None,0,NULL,NULL,1458.71,1466.06,13,26,4,43,0.3488
141,WOBOT,MI,USA,fim,1,1650.5016,1716.47,1634.73,1864.14,491,471,18,980,0.5102
144,The R.O.C.K,OH,USA,None,1,1571.27,1635.52,1556.39,1699.24,138,139,4,281,0.4982
145,T-Rx,NY,USA,None,1,1587.0880000000002,1580.62,1530.15,1643.38,139,129,7,275,0.5182
147,Deep Thunder,FL,USA,None,0,NULL,NULL,1623.2,1642.37,22,22,2,46,0.5
148,Robowranglers,TX,USA,fit,1,1914.91,1908.3,1802.8,2015.48,658,191,9,858,0.7721
151,Tough Techs,NH,USA,ne,1,1545.45,1491.72,1515.12,1629.46,152,204,12,368,0.4293
155,The Technonuts,CT,USA,ne,1,1486.8336,1511.39,1537.66,1666.04,241,260,8,509,0.4813
156,RPM  - Robotics Plus Mayhem ,PA,USA,None,1,1561.6384,1588.13,1529.91,1615.14,107,110,3,220,0.4932
157,AZTECHS,MA,USA,ne,1,1583.84,1585.45,1559.8,1668.68,238,254,16,508,0.4843
158,The Cobras,OH,USA,None,0,NULL,NULL,1499,1575.21,47,62,4,113,0.4336
159,Alpine Robotics,CO,USA,None,1,1490.33,1567.58,1529.96,1666.13,180,191,9,380,0.4855
165,Das Goat,MD,USA,None,0,NULL,NULL,1465.32,1531.65,33,42,3,78,0.4423
166,Chop Shop,NH,USA,ne,1,1657.96,1605.45,1570.83,1724.82,252,265,6,523,0.4876
167,Children of the Corn,IA,USA,None,1,1609.68,1623.52,1534.64,1714.09,188,141,5,334,0.5704
168,Flashbacks,FL,USA,None,0,NULL,NULL,1479.32,1554.08,79,105,7,191,0.4319
171,Cheese Curd Herd,WI,USA,None,1,1525.69,1514.4,1560.59,1630.29,208,174,13,395,0.543
172,Northern Force,ME,USA,ne,1,1617.66,1639.05,1564.39,1730.08,217,200,9,426,0.52
173,RAGE Robotics ⚙️,CT,USA,ne,1,1583.81,1625.35,1622.25,1734.85,322,294,4,620,0.5226
174,Arctic Warriors,NY,USA,None,0,NULL,1533.76,1555.33,1701.85,164,158,7,329,0.5091
175,Buzz Robotics,CT,USA,ne,1,1629.7240000000002,1688.44,1690.68,1775.64,454,318,9,781,0.5871
176,Aces High,CT,USA,ne,1,1796,1780.15,1664.92,1896.23,490,287,21,798,0.6272
177,Bobcat Robotics,CT,USA,ne,1,1784.84,1781.67,1683.09,1857.6,478,269,13,760,0.6375
178,The 2nd Law Enforcers,CT,USA,ne,1,1536.03,1582.64,1552.95,1668.1,212,272,9,493,0.4391
